GUID,Description,Guild,Owner,Visibility,UploadedAsEpoch,UploadedAsDateTime,DurationAsEpoch,DurationAsTime,"Ara-Kara, City of Echoes",Eco-Dome Al'dani,Halls of Atonement,Operation: Floodgate,Priory of the Sacred Flame,Tazavesh: So'leah's Gambit,Tazavesh: Streets of Wonder,The Dawnbreaker
dGchmDzq6xQ4Zwkb,PTR,Personal Logs,Stentyg,Public,1754313232,"August 4, 2025 3:13 PM",458339240,5 days,1,1,1,1,1,1,1,1
qyjDGtAk98BFWJLr,DKT 17回响,Personal Logs,Windfire,Public,1754297245,"August 4, 2025 10:47 AM",5663832,2 hours,1,0,0,0,0,0,0,0
RfG4QgC1Kpt8dTjr,ptr keys,Personal Logs,chantellope,Public,1754297225,"August 4, 2025 10:47 AM",19202506,5 hours,1,1,1,0,0,0,1,0
WYzCd3vaXqMkbADG,uwu :3,Personal Logs,Iktomizi,Public,1754292150,"August 4, 2025 9:22 AM",4947930,an hour,1,0,1,0,0,0,0,0
NMW9hgkmxDydPwCb,Mythic+ Season 3,Personal Logs,Voidmend,Public,1754284179,"August 4, 2025 7:09 AM",11740605,3 hours,1,0,1,1,0,0,1,0
ZNA6bg7q3D8BmXf2,Mythic+ Season 3,Personal Logs,Kaanymon,Public,1754280685,"August 4, 2025 6:11 AM",9164571,3 hours,1,0,0,0,0,1,0,0
ymx7T6JrXAfV81zg,Mythic+ Season 3,Personal Logs,qudsjh,Public,1754274738,"August 4, 2025 4:32 AM",6401814,2 hours,1,0,0,1,0,0,0,0
1tQabvkRZ4BzfWxd,Mythic+ Season 3,Personal Logs,Arkanigth,Public,1754269326,"August 4, 2025 3:02 AM",15259502,4 hours,1,0,0,0,1,1,1,0
ByCGrdDnYKmjVwcR,Mythic+ Season 3,Personal Logs,Yegu,Public,1754249650,"August 3, 2025 9:34 PM",24717262,7 hours,1,0,1,0,1,1,0,1
F3k2Pz4xg8rNCmfJ,m+ ptr sunday 03/08,Personal Logs,TomElvis,Public,1754245230,"August 3, 2025 8:20 PM",17147616,5 hours,1,1,1,1,0,1,0,1
RhajLZkyNMJGwT4X,keys,Personal Logs,karlosdeklerk,Public,1754237395,"August 3, 2025 6:09 PM",9548521,3 hours,1,0,0,0,0,0,0,1
VY8k6TNQPydtDfp2,18破晨号,Personal Logs,美团搜担担面,Public,1754234817,"August 3, 2025 5:26 PM",5061532,an hour,1,0,0,0,0,0,0,1
NV9Gbkj213DxYdzT,Mythic+ Season 3,Personal Logs,Yegu,Public,1754234034,"August 3, 2025 5:13 PM",9073303,3 hours,1,0,0,0,1,0,0,0
K2TvPHtcVnyq6fj7,18回响,Personal Logs,美团搜担担面,Public,1754232425,"August 3, 2025 4:47 PM",2476710,41 minutes,1,0,0,0,0,0,0,0
fkZLgncHNG2haQw1,Mythic+ Season 3,Personal Logs,lgp0509csu,Public,1754219247,"August 3, 2025 1:07 PM",13734873,4 hours,1,0,1,0,0,1,1,1
DtzB9d3MhLW6Aq4G,Mythic+ Season 3,Personal Logs,Yechongyue,Public,1754211621,"August 3, 2025 11:00 AM",4973053,an hour,1,0,0,0,0,0,0,0
WJb9cvnCt24G6gph,Mythic+ Season 3,Personal Logs,Dillywow,Public,1754199142,"August 3, 2025 7:32 AM",29253337,8 hours,1,1,0,1,0,0,0,0
CvF1N8yfYPWRMkjd,Mythic+ Season 3,Personal Logs,YoDaTV,Public,1754194899,"August 3, 2025 6:21 AM",38165533,11 hours,1,1,1,1,0,1,1,1
vYk4GVcbLWHXx8qC,Mythic+ Season 3,Personal Logs,Fracasso,Public,1754190007,"August 3, 2025 5:00 AM",25580130,7 hours,1,1,1,0,0,1,0,0
pKjLZrf4JN6TQdX7,Mythic+ Season 3,Personal Logs,dblev,Public,1754188139,"August 3, 2025 4:28 AM",4459889,an hour,1,1,0,0,0,0,0,0
AzVk6Z7FK2vgQntD,ptr saturday,Personal Logs,Zorjeff,Public,1754178103,"August 3, 2025 1:41 AM",38789334,11 hours,1,1,0,0,0,0,0,1
JjpQbKzwPakq3LAX,Mythic+ Season 3,Personal Logs,Xeoo,Public,1754170344,"August 2, 2025 11:32 PM",4936271,an hour,1,1,0,0,0,0,0,0
g1XGKWmqthaMjQvN,Mythic+ Season 3,Personal Logs,Allakatter,Public,1754165088,"August 2, 2025 10:04 PM",24355645,7 hours,1,0,0,1,0,1,0,0
p8mWCJr73DTdynNH,Mythic+ Season 3,Personal Logs,YoDaTV,Public,1754160510,"August 2, 2025 8:48 PM",33343083,9 hours,1,1,1,1,1,1,1,1
r8QfcBtJqHR4Lw3C,Mythic+ Season 3,Personal Logs,전멸입니다,Public,1754157491,"August 2, 2025 7:58 PM",2318263,39 minutes,1,0,0,0,0,0,0,1
pJjxd4zyCnQYPFgV,Mythic+ Season 3,Personal Logs,BudoBoy07,Public,1754144728,"August 2, 2025 4:25 PM",17464687,5 hours,1,0,1,1,1,0,1,0
xHz4a8mnB2pLcAfP,m+ ptr friday 01/08,Personal Logs,TomElvis,Public,1754134724,"August 2, 2025 1:38 PM",17832738,5 hours,1,1,1,1,1,0,0,1
Vmf916YPw48TCNLc,Mythic+ Season 3,Personal Logs,Arkanigth,Public,1754134180,"August 2, 2025 1:29 PM",2462768,41 minutes,1,0,0,0,0,0,0,1
pwWbkZLT137PrYCt,Mythic+ Season 3,Personal Logs,Arkanigth,Public,1754133643,"August 2, 2025 1:20 PM",12038212,3 hours,1,1,0,0,0,1,0,1
zbc2Pdx6RCkpH4Xf,Mythic+ Season 3,Personal Logs,Arkanigth,Public,1754126011,"August 2, 2025 11:13 AM",32429067,9 hours,1,0,0,1,0,1,0,1
bFm7hY1CMDwy4NgJ,Mythic+ Season 3,Personal Logs,브론즈사슴쟝,Public,1754113731,"August 2, 2025 7:48 AM",4015511,an hour,1,0,1,0,0,0,0,0
m1vzTPZ3XVDgk2Nq,Mythic+ Season 3,Personal Logs,Seleucía,Public,1754111960,"August 2, 2025 7:19 AM",8720585,2 hours,1,0,0,0,1,0,0,0
3kLN8GzyCHxTq6pB,Mythic+ Season 3,Personal Logs,Fracasso,Public,1754109749,"August 2, 2025 6:42 AM",12937703,4 hours,1,0,0,0,0,0,0,0
VwLAP8dxKvNfrmTW,Mythic+ Season 3,Personal Logs,Saylar,Public,1754109044,"August 2, 2025 6:30 AM",16850531,5 hours,1,0,0,1,0,1,1,1
kxGYrAHPjX4Qb21v,Mythic+ Season 3,Personal Logs,yoloswagginzbdf,Public,1754108671,"August 2, 2025 6:24 AM",10551912,3 hours,1,1,0,0,0,0,0,0
zXTRHxmPM1NbnAgd,Mythic+ Season 3,Personal Logs,yoloswagginzbdf,Public,1754108534,"August 2, 2025 6:22 AM",10551912,3 hours,1,1,0,0,0,1,1,0
1k4qnwFy7Wx3tPzf,Mythic+ Season 3,Personal Logs,Fracasso,Public,1754106042,"August 2, 2025 5:40 AM",8992284,2 hours,1,0,0,0,0,0,0,0
1WHZN6bG2VwRPAvh,Mythic+ Season 3,Personal Logs,전멸입니다,Public,1754100057,"August 2, 2025 4:00 AM",1147299,19 minutes,1,0,0,0,0,0,0,0
2wRmB64JybnXzp7K,log friday,Personal Logs,Zorjeff,Public,1754095921,"August 2, 2025 2:52 AM",39365651,11 hours,1,1,1,1,0,1,1,0
mbgX8ZcJnxaG2RPK,Mythic+ Season 3,Personal Logs,Eskastyle,Public,1754092567,"August 2, 2025 1:56 AM",14722843,4 hours,1,1,1,0,1,0,0,1
cadZVWMt1zvQXhpR,Mythic+ Season 3,Personal Logs,juckels07,Public,1754085658,"August 2, 2025 12:00 AM",14110188,4 hours,1,0,0,0,0,0,0,1
jqb2RLpWm9GDNw14,123,Personal Logs,Deibe,Public,1754076717,"August 1, 2025 9:31 PM",6966292,2 hours,1,0,0,0,1,0,0,1
yWKa8dVvF7gZPqkC,Mythic+ Season 3,Personal Logs,healsforcash,Public,1754072263,"August 1, 2025 8:17 PM",1697230,28 minutes,1,0,0,0,0,0,0,0
VgnpXwtk3Q6MRLHc,Mythic+ Season 3,Personal Logs,Yechongyue,Public,1754070578,"August 1, 2025 7:49 PM",6656343,2 hours,1,0,0,0,0,1,0,1
V8ZLFDzjxfBJKN3c,Mythic+ Season 3,Personal Logs,Qiaoling,Public,1754066968,"August 1, 2025 6:49 PM",33277318,9 hours,1,1,1,1,1,1,1,1
vbTCQ9Vj7hf1dWgn,DKT 17圆顶17隐修院17破晨17回响,Personal Logs,Windfire,Public,1754063112,"August 1, 2025 5:45 PM",9389114,3 hours,1,1,0,0,1,0,0,1
NLTHZD4zBwaJqWRt,8.1 Hpal17+,Personal Logs,Wordpudding,Public,1754062721,"August 1, 2025 5:38 PM",9394323,3 hours,1,1,0,0,1,0,0,1
BFTMftNbCdZ2L7gH,Mythic+ Season 3,Personal Logs,전멸입니다,Public,1754061403,"August 1, 2025 5:16 PM",12098333,3 hours,1,1,1,0,1,0,0,1
qJm7RNZPhTWpvK4y,Mythic+ Season 3,Personal Logs,전멸입니다,Public,1754060165,"August 1, 2025 4:56 PM",10851811,3 hours,1,1,1,0,0,0,0,1
Vw4L3kP2NTMmYzFa,Mythic+ Season 3,Personal Logs,전멸입니다,Public,1754057759,"August 1, 2025 4:15 PM",8391631,2 hours,1,1,0,0,0,0,0,1
TCbqXf7R4wMNxBG6,Mythic+ Season 3,Personal Logs,브론즈사슴쟝,Public,1754054764,"August 1, 2025 3:26 PM",2922864,an hour,1,0,0,0,0,0,0,0
QZVRKcj6yCzHtbFX,Mythic+ Season 3,Personal Logs,브론즈사슴쟝,Public,1754052988,"August 1, 2025 2:56 PM",994695,17 minutes,1,0,0,0,0,0,0,0
nm8RACNB2GXvDW9f,Mythic+ Season 3,Personal Logs,브론즈사슴쟝,Public,1754047404,"August 1, 2025 1:23 PM",8970479,2 hours,1,1,0,1,0,0,0,0
GaZ1ywmCRHp8MhcK,17回响（已通关）,Personal Logs,美团搜担担面,Public,1754046016,"August 1, 2025 1:00 PM",7465720,2 hours,1,1,0,0,0,0,1,0
RN3gCHVmBrvakYj8,Gambit + Ara 14,Personal Logs,Shawnzx,Public,1754020649,"August 1, 2025 5:57 AM",11465778,3 hours,1,0,0,0,0,1,0,0
4YT6mv21dzaqnhVj,ptr keys,Personal Logs,Fuzyy,Public,1754018973,"August 1, 2025 5:29 AM",10364417,3 hours,1,0,0,0,1,0,0,1
Qj4K3b1CMdFmWVny,Mythic+ Season 3,Personal Logs,Voidmend,Public,1754015672,"August 1, 2025 4:34 AM",2403418,40 minutes,1,0,0,0,0,0,0,0
kZVf46yD28JawRTr,ptr keys,Personal Logs,Fuzyy,Public,1754014863,"August 1, 2025 4:21 AM",4600891,an hour,1,0,0,0,1,0,0,1
BJmND37dkCA4apGb,key thurdsay,Personal Logs,Zorjeff,Public,1754010976,"August 1, 2025 3:16 AM",35615700,10 hours,1,1,1,1,1,1,0,1
xgQPMV8L4vjJq7fW,Mythic+ Season 3,Personal Logs,MadK0rts,Public,1754007613,"August 1, 2025 2:20 AM",2352609,39 minutes,1,0,0,0,0,0,1,0
pAnBtXchzVfqQK91,Cocoa,Personal Logs,Waalpen,Public,1754007173,"August 1, 2025 2:12 AM",14201381,4 hours,1,0,0,1,0,1,0,1
zWKdACgX41Nwntap,Mythic+ Season 3,Personal Logs,juckels07,Public,1754006333,"August 1, 2025 1:58 AM",10000833,3 hours,1,0,0,0,0,0,0,1
6tZ3PhQwkqKn2MmD,Mythic+ Season 3,Personal Logs,MadK0rts,Public,1754005989,"August 1, 2025 1:53 AM",698280,12 minutes,1,0,0,0,0,0,0,0
DbWLf4H6MYhNKv3A,Mythic+ Season 3,Personal Logs,KodyNM,Public,1753977870,"July 31, 2025 6:04 PM",2486053,41 minutes,1,0,0,1,0,0,0,0
TvDqb3Lyh6B8kZz7,Mythic+ Season 3,Personal Logs,Kevybevy,Public,1753974758,"July 31, 2025 5:12 PM",10903420,3 hours,1,0,0,1,1,0,0,1
Ky9Vhv2PXWZ6QqnR,Mythic+ Season 3,Personal Logs,Stαbbyfaceδ,Public,1753969154,"July 31, 2025 3:39 PM",72627219,20 hours,1,1,1,1,0,0,0,0
CRMcvzX1A8GDh2nk,Mythic+ Season 3,Personal Logs,jbw8229,Public,1753957825,"July 31, 2025 12:30 PM",12415241,3 hours,1,0,1,1,0,0,0,1
mWJxqFpQZGRD7bcy,Mythic+ Season 3,Personal Logs,Hwoarang,Public,1753952285,"July 31, 2025 10:58 AM",797572,13 minutes,1,0,0,0,0,0,0,0
ZCNhYtQJ1kGcjXnz,Mythic+ Season 3,Personal Logs,Borrunir,Public,1753951869,"July 31, 2025 10:51 AM",10036529,3 hours,1,0,0,1,0,1,0,0
jMfdw2XVgyQCL34Y,Mythic+ Season 3,Personal Logs,yoloswagginzbdf,Public,1753945122,"July 31, 2025 8:58 AM",8257623,2 hours,1,0,0,0,0,0,0,0
28QCMT3Rdpv6Pkft,Mythic+ Season 3,Personal Logs,Kartson,Public,1753943366,"July 31, 2025 8:29 AM",17145868,5 hours,1,1,0,1,1,1,1,0
bCTthyBAfk643N8X,Mythic+ Season 3,Send it,PoohXanny,Public,1753940764,"July 31, 2025 7:46 AM",6436313,2 hours,1,1,0,0,0,0,0,0
JR4xmHAP17cY93Kv,Mythic+ Season 3,Personal Logs,YoDaTV,Public,1753933894,"July 31, 2025 5:51 AM",40127795,11 hours,1,1,1,1,1,1,0,1
ZyAK1YXpWj8HLFf3,Mythic+ Season 3,Personal Logs,ViviLouF,Public,1753930157,"July 31, 2025 4:49 AM",22594089,6 hours,1,1,1,0,0,1,1,1
ckj7V6vTAh2rQtZd,ptr xd xd xd5,Personal Logs,Nice,Public,1753917114,"July 31, 2025 1:11 AM",14415788,4 hours,1,0,1,1,0,0,0,1
PwqtbGaZn2R1HmJp,Mythic+ Season 3,Personal Logs,Hwoarang,Public,1753916827,"July 31, 2025 1:07 AM",9972933,3 hours,1,1,1,0,1,0,0,0
tmVK6FrqwBbMd8ay,Mythic+ Season 3,Personal Logs,LitenUp,Public,1753914368,"July 31, 2025 12:26 AM",434215,7 minutes,1,0,0,0,0,0,0,0
93M6xfAbPdwazyHt,ptr xd xd xd4,Personal Logs,Nice,Public,1753911417,"July 30, 2025 11:36 PM",8872460,2 hours,1,0,0,1,0,0,0,0
MpCTHP8tncrD6fBd,Mythic+ Season 3,Personal Logs,juticed,Public,1753906678,"July 30, 2025 10:17 PM",11271638,3 hours,1,0,1,1,1,0,0,0
DaM6rYJ2gFd8CQkx,Mythic+ Season 3,Personal Logs,juticed,Public,1753906578,"July 30, 2025 10:16 PM",24311839,7 hours,1,1,1,1,1,1,1,0
mQAzD4JaNMLRvY1p,Mythic+ Season 3,Personal Logs,Allakatter,Public,1753906388,"July 30, 2025 10:13 PM",5888176,2 hours,1,0,0,1,0,0,0,1
zT6x4DXCdYbPakKn,Mythic+ Season 3,Personal Logs,Thealbatross,Public,1753905746,"July 30, 2025 10:02 PM",20582664,6 hours,1,1,1,0,1,0,1,0
dr6mwT4LVaDNtzg9,Mythic+ Season 3,Personal Logs,Yechongyue,Public,1753902974,"July 30, 2025 9:16 PM",3253197,an hour,1,0,0,0,0,0,0,0
JxdaZj7y8t94kTGR,Mythic+ Season 3,Personal Logs,Yechongyue,Public,1753902926,"July 30, 2025 9:15 PM",5379618,an hour,1,0,0,0,0,1,0,0
byBKAg4r7G2WmdFY,Mythic+ Season 3,Personal Logs,Jacqueas73,Public,1753899809,"July 30, 2025 8:23 PM",40025276,11 hours,1,0,1,1,1,1,0,1
DTYF79cjzCv3MVam,ptr xd xd xd3,Personal Logs,Nice,Public,1753899638,"July 30, 2025 8:20 PM",7640265,2 hours,1,0,1,0,0,0,0,1
x2LnJhQr3ydRjcgf,Mythic+ Season 3,Personal Logs,vadan,Public,1753897824,"July 30, 2025 7:50 PM",10884361,3 hours,1,0,1,0,0,1,1,0
R2njLcm7CFWtxyM9,Mythic+ Season 3,Personal Logs,Molemidezhu,Public,1753896321,"July 30, 2025 7:25 PM",3453084,an hour,1,0,0,0,0,0,0,0
7FNHbm4M9Z3Cxgkp,Mythic+ Season 3,Personal Logs,Oleneboi,Public,1753895770,"July 30, 2025 7:16 PM",14896935,4 hours,1,1,1,0,0,1,1,1
8R6Dghn74qrzmtdb,Mythic+ Season 3,Personal Logs,Gio_KW,Public,1753891696,"July 30, 2025 6:08 PM",3988841,an hour,1,0,0,0,0,0,0,1
BX4RaphndC978yTG,Mythic+ Season 3,Personal Logs,vadan,Public,1753881688,"July 30, 2025 3:21 PM",10525849,3 hours,1,0,1,1,0,1,0,0
Gv8yZmCkzV3J71rb,Mythic+ Season 3,Personal Logs,Yechongyue,Public,1753865991,"July 30, 2025 10:59 AM",8197193,2 hours,1,0,0,1,0,0,0,1
bkqZrzwLX8dpWgn6,Mythic+ Season 3,Personal Logs,Seleucía,Public,1753856752,"July 30, 2025 8:25 AM",16682833,5 hours,1,1,1,0,0,1,0,0
AVrKXy1RWdnDBpTM,Mythic+ Season 3,Personal Logs,Zolur,Public,1753853314,"July 30, 2025 7:28 AM",12152994,3 hours,1,1,1,1,0,0,0,0
hTL96mVyYgjwbfJK,ptr keys with morbussy,Pugs With Benefits,grandmother_wow,Public,1753842409,"July 30, 2025 4:26 AM",6553862,2 hours,1,0,1,0,0,0,0,0
xZacHRBv3m241bYW,Mythic+ Season 3,Personal Logs,Squeenis,Public,1753838700,"July 30, 2025 3:25 AM",12370710,3 hours,1,1,1,0,0,0,1,0
Lk43NWtqPwgvby21,Mythic+ Season 3,Personal Logs,Yechongyue,Public,1753233578,"July 23, 2025 3:19 AM",13531813,4 hours,1,1,0,1,1,0,0,1
kybQ9BYvWwDgN7cm,ptr m+ 1,Personal Logs,TomElvis,Public,1753223641,"July 23, 2025 12:34 AM",7023145,2 hours,1,0,0,0,0,0,0,1
kdNAm4LnPjxvagbF,Mythic+ Season 3,Personal Logs,fishgod,Public,1753207137,"July 22, 2025 7:58 PM",22070544,6 hours,1,1,0,0,1,0,0,1
HjkRwK7Yq9r38cPt,Mythic+ Season 3,Personal Logs,Yechongyue,Public,1753206152,"July 22, 2025 7:42 PM",12675027,4 hours,1,1,0,1,1,0,0,0
ND69kabL8GcKT4Mp,Mythic+ Season 3,Personal Logs,MadK0rts,Public,1753205563,"July 22, 2025 7:32 PM",26594233,7 hours,1,1,0,1,1,0,0,1
H9tGb84zfTBAQ2KY,Mythic+ Season 3,Personal Logs,Reileigh,Public,1753201742,"July 22, 2025 6:29 PM",5776892,2 hours,1,0,0,0,0,0,0,1
ZAmHQkMB9xKdtvgC,Mythic+ Season 3,Personal Logs,juticed,Public,1753175351,"July 22, 2025 11:09 AM",12335150,3 hours,1,1,0,1,0,0,0,1
fyt9vHYVTbcCFAZg,Mythic+ Season 3,Personal Logs,Voidmend,Public,1753160014,"July 22, 2025 6:53 AM",11023334,3 hours,1,1,0,1,0,0,0,1
YMBXxyGpzr37FZwh,ptr keys,Personal Logs,BergGoodWower,Public,1753157702,"July 22, 2025 6:15 AM",13658978,4 hours,1,1,0,1,0,0,0,0
2HMNPnvmqTyKC6aZ,Mythic+ Season 3,Personal Logs,YoDaTV,Public,1753151641,"July 22, 2025 4:34 AM",30124781,8 hours,1,1,0,1,1,0,0,1
6B2qM3TcYftxFJpK,PTR monday,Personal Logs,Zorjeff,Public,1753139614,"July 22, 2025 1:13 AM",31319033,9 hours,1,1,0,1,1,0,0,1
G9jMdpgq7A3vKTmc,Mythic+ Season 3,Personal Logs,Allakatter,Public,1753135843,"July 22, 2025 12:10 AM",39522834,11 hours,1,0,0,1,1,0,0,0
ZbvDLXApwB6GfkRx,Mythic+ Season 3,Personal Logs,Asertop,Public,1753135785,"July 22, 2025 12:09 AM",3788492,an hour,1,0,0,0,0,0,0,1
HP8xQGcChRXf63VB,Mythic+ Season 3,Personal Logs,Eskastyle,Public,1753135116,"July 21, 2025 11:58 PM",4189495,an hour,1,1,0,0,0,0,0,0
xj4hn8DtArKcvJma,Mythic+ Season 3,Personal Logs,Arkanigth,Public,1753130622,"July 21, 2025 10:43 PM",1077522,18 minutes,1,0,0,0,0,0,0,0
Pf3Qvp1Aqmy8agTj,Mythic+ Season 3,Personal Logs,Crazytotz,Public,1753128533,"July 21, 2025 10:08 PM",7677146,2 hours,1,1,0,0,1,0,0,0
MwcXFR9tvJ3Pryhf,Mythic+ Season 3,Personal Logs,Abie78,Public,1753128024,"July 21, 2025 10:00 PM",2350700,39 minutes,1,0,0,0,0,0,0,0
DcpXgfdNCjyxFbKM,Mythic+ Season 3,Personal Logs,jymaryb,Public,1753118196,"July 21, 2025 7:16 PM",8470611,2 hours,1,0,0,0,0,0,0,0
Vy36DdTgMRWraGxq,Mythic+ Season 3,Personal Logs,juticed,Public,1753091284,"July 21, 2025 11:48 AM",21614090,6 hours,1,0,0,1,1,0,0,1
4gFVfnKBJmAaMHjQ,Mythic+ Season 3,Personal Logs,Hwoarang,Public,1753090561,"July 21, 2025 11:36 AM",4051610,an hour,1,0,0,0,0,0,0,0
TCzrKkW1NQvXnDxJ,Mythic+ Season 3,Personal Logs,juticed,Public,1753088649,"July 21, 2025 11:04 AM",19038611,5 hours,1,0,0,1,1,0,0,1
dJ8TPjrGxtCKN3g1,Mythic+ Season 3,Personal Logs,Borrunir,Public,1753083609,"July 21, 2025 9:40 AM",11639764,3 hours,1,1,0,0,1,0,0,1
TPGZnkWz8KCthrM1,Mythic+ Season 3,Send it,PoohXanny,Public,1753079845,"July 21, 2025 8:37 AM",60842307,17 hours,1,1,0,0,1,0,0,0
VGkN9TWnqKxPAzQ6,Mythic+ Season 3,Unrivaled,wellsdaddy,Public,1753078682,"July 21, 2025 8:18 AM",8127959,2 hours,1,1,0,0,0,0,0,1
42vQamfPCAczqNMJ,Mythic+ Season 3,Personal Logs,Thealbatross,Public,1753075189,"July 21, 2025 7:19 AM",5305275,an hour,1,0,0,0,0,0,0,0
3Arz2FntT9pkW8mV,Mythic+ Season 3,Personal Logs,Dillywow,Public,1753064880,"July 21, 2025 4:28 AM",10102578,3 hours,1,1,0,1,0,0,0,1
AHm3XJhGYMpdQbWK,Mythic+ Season 3,Personal Logs,Gio_KW,Public,1753064232,"July 21, 2025 4:17 AM",15914491,4 hours,1,1,0,0,1,0,0,0
tCp67HFwY9AXZ2BW,12341241245125,Personal Logs,mellforce,Public,1753047652,"July 20, 2025 11:40 PM",12989112,4 hours,1,1,0,0,0,0,0,1
qbpHFDk9WYnCVTPM,Mythic+ Season 3,Personal Logs,unbrokenfealty,Public,1753040385,"July 20, 2025 9:39 PM",8978295,2 hours,1,1,0,0,0,0,0,1
AgtyaM1YTGV3QjHb,Mythic+ Season 3,Personal Logs,fishgod,Public,1753034601,"July 20, 2025 8:03 PM",16414474,5 hours,1,1,0,0,0,0,0,1
91NA8JrHfPtVD63q,Mythic+ Season 3,Personal Logs,aaronjlilla,Public,1753033094,"July 20, 2025 7:38 PM",12453565,3 hours,1,1,0,1,0,0,0,0
qAxRT6fD4vhGtVnj,Mythic+ Season 3,Personal Logs,Foolseal,Public,1753029149,"July 20, 2025 6:32 PM",8511373,2 hours,1,0,0,0,0,0,0,0
jpYAhLHQMFz4xGT9,ptr m+,Personal Logs,TomElvis,Public,1753026540,"July 20, 2025 5:49 PM",13453720,4 hours,1,1,0,1,0,0,0,1
4kZWpMABV82GXr3Y,DKT 15回响15圆顶,Personal Logs,Windfire,Public,1753025082,"July 20, 2025 5:24 PM",8355873,2 hours,1,1,0,0,0,0,0,0
9RfnvKzqbJx6Xam3,Mythic+ Season 3,Personal Logs,Karl666,Public,1753022786,"July 20, 2025 4:46 PM",8929603,2 hours,1,1,0,0,0,0,0,1
wYc3b9MFCWDVB7vL,Mythic+ Season 3,Personal Logs,Foolseal,Public,1753022416,"July 20, 2025 4:40 PM",4520855,an hour,1,0,0,0,0,0,0,0
Yb6G1xj4zwBv9Tdt,Mythic+ Season 3,Personal Logs,slothlog,Public,1753021817,"July 20, 2025 4:30 PM",2364214,39 minutes,1,0,0,0,0,0,0,0
8gB1xhaHWpyvjw26,Mythic+ Season 3,Personal Logs,Voltrafy,Public,1752999510,"July 20, 2025 10:18 AM",10254072,3 hours,1,1,0,1,1,0,0,0
8xma3zq2vyYHLjk4,Mythic+ Season 3,Personal Logs,Voidmend,Public,1752991393,"July 20, 2025 8:03 AM",5377081,an hour,1,0,0,1,0,0,0,0
mxD1wvzCg9pZ7T8X,12 Ara Dotc,Personal Logs,Thorrack,Public,1752983243,"July 20, 2025 5:47 AM",2243946,37 minutes,1,0,0,0,0,0,0,0
FQc4tbYGMvRVDg9p,Mythic+ Season 3,Personal Logs,Zolur,Public,1752980626,"July 20, 2025 5:03 AM",8229037,2 hours,1,0,0,1,0,0,0,1
