item_id,from,boss,gear_slot,gear_type,stats,MonkBrew,MonkMw,MonkWw
221150,Ara-Kara,1 of 3,One-Hand,Sword,Int,0%,33%,0%
221137,Dawnbreaker,2 of 3,Two-Hand,Polearm,Agi,25%,0%,25%
221159,Ara-Kara,3 of 3,Two-Hand,Staff,Agi,33%,0%,33%
221166,City of Threads,1 of 4,Two-Hand,Staff,Int,0%,33%,0%
56137,Grim Batol,4 of 4,Two-Hand,Staff,Int,0%,7%,0%
56461,Grim Batol,4 of 4,Two-Hand,Staff,Int,0%,7%,0%
133303,Grim Batol,4 of 4,Two-Hand,Staff,Int,0%,7%,0%
178714,Mists of Tirna,3 of 3,Two-Hand,Staff,Int,0%,33%,0%
221085,Stonevault,3 of 4,Two-Hand,Staff,Int,0%,25%,0%
221172,City of Threads,2 of 4,Held In Off-hand,,Int,0%,50%,0%
221132,Dawnbreaker,1 of 3,Held In Off-hand,,Int,0%,33%,0%
219314,Ara-Kara,1 of 3,Trinket,,,50%,33%,50%
219316,Ara-Kara,2 of 3,Trinket,,"Agi,Str",33%,0%,33%
219317,Ara-Kara,3 of 3,Trinket,,"Agi,Int",33%,50%,33%
219318,City of Threads,1 of 4,Trinket,,,50%,33%,50%
219319,City of Threads,2 of 4,Trinket,,Agi,50%,0%,50%
219320,City of Threads,3 of 4,Trinket,,Int,0%,33%,0%
219321,City of Threads,4 of 4,Trinket,,Int,0%,33%,0%
56115,Grim Batol,1 of 4,Trinket,,Agi,12%,0%,12%
56440,Grim Batol,1 of 4,Trinket,,Agi,12%,0%,12%
133282,Grim Batol,1 of 4,Trinket,,Agi,12%,0%,12%
56121,Grim Batol,2 of 4,Trinket,,,11%,12%,11%
56449,Grim Batol,2 of 4,Trinket,,,11%,12%,11%
133291,Grim Batol,2 of 4,Trinket,,,11%,12%,11%
133304,Grim Batol,2 of 4,Trinket,,,11%,12%,11%
56136,Grim Batol,4 of 4,Trinket,,,10%,7%,10%
56138,Grim Batol,4 of 4,Trinket,,,10%,7%,10%
56462,Grim Batol,4 of 4,Trinket,,,10%,7%,10%
56463,Grim Batol,4 of 4,Trinket,,,10%,7%,10%
133305,Grim Batol,4 of 4,Trinket,,,10%,7%,10%
178708,Mists of Tirna,1 of 3,Trinket,,Int,0%,33%,0%
159623,Siege of Boralus,2 of 4,Trinket,,Agi,33%,0%,33%
219312,Dawnbreaker,2 of 3,Trinket,,"Agi,Int",25%,33%,25%
219301,Stonevault,3 of 4,Trinket,,,50%,25%,50%
219302,Stonevault,3 of 4,Trinket,,Int,0%,25%,0%
219303,Stonevault,4 of 4,Trinket,,,33%,50%,33%
