item_id,from,boss,gear_slot,gear_type,stats,PaladinHoly,PaladinProt,PaladinRet
221178,City of Threads,3 of 4,Feet,Plate,V>H,25%,33%,50%
221181,City of Threads,3 of 4,Neck,,,25%,33%,50%
221154,Ara-Kara,2 of 3,Back,,V>C,50%,33%,33%
157597,Grim Batol,2 of 4,Back,,M>C,11%,11%,11%
56126,Grim Batol,3 of 4,Back,,V>C,50%,0%,0%
133309,Grim Batol,4 of 4,Back,,V>C,11%,5%,5%
221088,Stonevault,3 of 4,Back,,M>H,25%,33%,33%
221189,City of Threads,4 of 4,Finger,,,33%,50%,33%
56114,Grim Batol,1 of 4,Finger,,M>C,0%,20%,25%
56444,Grim Batol,1 of 4,Finger,,M>C,0%,20%,25%
133286,Grim Batol,1 of 4,Finger,,M>C,25%,20%,25%
133307,Grim Batol,1 of 4,Finger,,H>C,25%,0%,0%
133287,Grim Batol,2 of 4,Finger,,V>C,11%,11%,11%
56129,Grim Batol,4 of 4,Finger,,H>C,0%,5%,5%
56457,Grim Batol,4 of 4,Finger,,H>C,0%,5%,5%
133299,Grim Batol,4 of 4,Finger,,H>M,11%,5%,5%
221136,Dawnbreaker,1 of 3,Finger,,,33%,33%,33%
221141,Dawnbreaker,2 of 3,Finger,,,33%,50%,50%
178736,Necrotic Wake,1 of 4,Finger,,H>V,50%,33%,50%
178711,Mists of Tirna,3 of 3,One-Hand,Axe,Str,0%,33%,0%
56130,Grim Batol,4 of 4,One-Hand,Mace,Str,0%,5%,0%
56459,Grim Batol,4 of 4,One-Hand,Mace,Str,0%,5%,0%
133301,Grim Batol,4 of 4,One-Hand,Mace,Str,0%,5%,0%
178709,Mists of Tirna,1 of 3,One-Hand,Mace,Int,33%,0%,0%
178730,Necrotic Wake,1 of 4,One-Hand,Mace,Str,0%,33%,0%
221150,Ara-Kara,1 of 3,One-Hand,Sword,Int,33%,0%,0%
159649,Siege of Boralus,2 of 4,One-Hand,Sword,Str,0%,33%,0%
221091,Stonevault,4 of 4,One-Hand,Sword,Str,0%,33%,0%
178713,Mists of Tirna,1 of 3,Two-Hand,Axe,Str,0%,0%,50%
56131,Grim Batol,4 of 4,Two-Hand,Mace,Str,0%,0%,5%
56456,Grim Batol,4 of 4,Two-Hand,Mace,Str,0%,0%,5%
133298,Grim Batol,4 of 4,Two-Hand,Mace,Str,0%,0%,5%
221083,Stonevault,2 of 4,Two-Hand,Mace,Int,50%,0%,0%
221184,City of Threads,4 of 4,Two-Hand,Polearm,Str,0%,0%,33%
221172,City of Threads,2 of 4,Held In Off-hand,,Int,50%,0%,0%
221132,Dawnbreaker,1 of 3,Held In Off-hand,,Int,33%,0%,0%
221177,City of Threads,3 of 4,Off Hand,Shield,"Str,Int",25%,33%,0%
157612,Grim Batol,1 of 4,Off Hand,Shield,"Str,Int",25%,20%,0%
178712,Mists of Tirna,3 of 3,Off Hand,Shield,"Str,Int",50%,33%,0%
219314,Ara-Kara,1 of 3,Trinket,,,33%,50%,50%
219316,Ara-Kara,2 of 3,Trinket,,"Agi,Str",0%,33%,33%
219317,Ara-Kara,3 of 3,Trinket,,"Agi,Int",50%,0%,0%
219318,City of Threads,1 of 4,Trinket,,,50%,50%,50%
219320,City of Threads,3 of 4,Trinket,,Int,25%,0%,0%
219321,City of Threads,4 of 4,Trinket,,Int,33%,0%,0%
56121,Grim Batol,2 of 4,Trinket,,,11%,11%,11%
56449,Grim Batol,2 of 4,Trinket,,,11%,11%,11%
133291,Grim Batol,2 of 4,Trinket,,,11%,11%,11%
133304,Grim Batol,2 of 4,Trinket,,,11%,11%,11%
56132,Grim Batol,4 of 4,Trinket,,Str,0%,5%,5%
56136,Grim Batol,4 of 4,Trinket,,,11%,5%,5%
56138,Grim Batol,4 of 4,Trinket,,,11%,5%,5%
56458,Grim Batol,4 of 4,Trinket,,Str,0%,5%,5%
56462,Grim Batol,4 of 4,Trinket,,,11%,5%,5%
56463,Grim Batol,4 of 4,Trinket,,,11%,5%,5%
133300,Grim Batol,4 of 4,Trinket,,Str,0%,5%,5%
133305,Grim Batol,4 of 4,Trinket,,,11%,5%,5%
178708,Mists of Tirna,1 of 3,Trinket,,Int,33%,0%,0%
219311,Dawnbreaker,1 of 3,Trinket,,Str,0%,33%,33%
219312,Dawnbreaker,2 of 3,Trinket,,"Agi,Int",33%,0%,0%
219300,Stonevault,2 of 4,Trinket,,Str,0%,50%,50%
219301,Stonevault,3 of 4,Trinket,,,25%,33%,33%
219302,Stonevault,3 of 4,Trinket,,Int,25%,0%,0%
219303,Stonevault,4 of 4,Trinket,,,50%,33%,50%
