item_id,from,boss,gear_slot,gear_type,stats,ShamanEle,ShamanEnh,ShamanResto
221189,City of Threads,4 of 4,Finger,,,33%,50%,33%
133286,Grim Batol,1 of 4,Finger,,M>C,11%,14%,11%
133307,Grim Batol,1 of 4,Finger,,H>C,11%,0%,11%
56120,Grim Batol,2 of 4,Finger,,H>C,0%,9%,0%
56445,Grim Batol,2 of 4,Finger,,H>C,0%,9%,0%
133287,Grim Batol,2 of 4,Finger,,V>C,10%,9%,10%
133299,Grim Batol,4 of 4,Finger,,H>M,8%,11%,8%
221136,Dawnbreaker,1 of 3,Finger,,,50%,100%,50%
221141,Dawnbreaker,2 of 3,Finger,,,25%,25%,25%
178736,Necrotic Wake,1 of 4,Finger,,H>V,50%,50%,50%
221165,Ara-Kara,3 of 3,One-Hand,Dagger,Int,33%,0%,33%
221171,City of Threads,2 of 4,One-Hand,Dagger,Int,33%,0%,33%
56116,Grim Batol,1 of 4,One-Hand,Dagger,Int,11%,0%,11%
56441,Grim Batol,1 of 4,One-Hand,Dagger,Int,11%,0%,11%
133283,Grim Batol,1 of 4,One-Hand,Dagger,Int,11%,0%,11%
157613,Grim Batol,2 of 4,One-Hand,Fist Weapon,Int,10%,0%,10%
221090,Stonevault,4 of 4,One-Hand,Fist Weapon,Agi,0%,50%,0%
178709,Mists of Tirna,1 of 3,One-Hand,Mace,Int,25%,0%,25%
221083,Stonevault,2 of 4,Two-Hand,Mace,Int,50%,0%,50%
221166,City of Threads,1 of 4,Two-Hand,Staff,Int,33%,0%,33%
56137,Grim Batol,4 of 4,Two-Hand,Staff,Int,8%,0%,8%
56461,Grim Batol,4 of 4,Two-Hand,Staff,Int,8%,0%,8%
133303,Grim Batol,4 of 4,Two-Hand,Staff,Int,8%,0%,8%
178714,Mists of Tirna,3 of 3,Two-Hand,Staff,Int,33%,0%,33%
221085,Stonevault,3 of 4,Two-Hand,Staff,Int,25%,0%,25%
221172,City of Threads,2 of 4,Held In Off-hand,,Int,33%,0%,33%
221132,Dawnbreaker,1 of 3,Held In Off-hand,,Int,50%,0%,50%
221177,City of Threads,3 of 4,Off Hand,Shield,"Str,Int",25%,0%,25%
157612,Grim Batol,1 of 4,Off Hand,Shield,"Str,Int",11%,0%,11%
178712,Mists of Tirna,3 of 3,Off Hand,Shield,"Str,Int",33%,0%,33%
219314,Ara-Kara,1 of 3,Trinket,,,50%,50%,50%
219316,Ara-Kara,2 of 3,Trinket,,"Agi,Str",0%,33%,0%
219317,Ara-Kara,3 of 3,Trinket,,"Agi,Int",33%,50%,33%
219318,City of Threads,1 of 4,Trinket,,,33%,50%,33%
219319,City of Threads,2 of 4,Trinket,,Agi,0%,50%,0%
219320,City of Threads,3 of 4,Trinket,,Int,25%,0%,25%
219321,City of Threads,4 of 4,Trinket,,Int,33%,0%,33%
56115,Grim Batol,1 of 4,Trinket,,Agi,0%,14%,0%
56440,Grim Batol,1 of 4,Trinket,,Agi,0%,14%,0%
133282,Grim Batol,1 of 4,Trinket,,Agi,0%,14%,0%
56121,Grim Batol,2 of 4,Trinket,,,10%,9%,10%
56449,Grim Batol,2 of 4,Trinket,,,10%,9%,10%
133291,Grim Batol,2 of 4,Trinket,,,10%,9%,10%
133304,Grim Batol,2 of 4,Trinket,,,10%,9%,10%
56136,Grim Batol,4 of 4,Trinket,,,8%,11%,8%
56138,Grim Batol,4 of 4,Trinket,,,8%,11%,8%
56462,Grim Batol,4 of 4,Trinket,,,8%,11%,8%
56463,Grim Batol,4 of 4,Trinket,,,8%,11%,8%
133305,Grim Batol,4 of 4,Trinket,,,8%,11%,8%
178708,Mists of Tirna,1 of 3,Trinket,,Int,25%,0%,25%
159623,Siege of Boralus,2 of 4,Trinket,,Agi,0%,33%,0%
219312,Dawnbreaker,2 of 3,Trinket,,"Agi,Int",25%,25%,25%
219301,Stonevault,3 of 4,Trinket,,,25%,50%,25%
219302,Stonevault,3 of 4,Trinket,,Int,25%,0%,25%
219303,Stonevault,4 of 4,Trinket,,,100%,50%,100%
