*Slot;Type;*Item;Main Stat;Operator;Sec Stat;Dungeon
Chest;Mail;Tunic of Screaming Earth;C;>>;H;Neltharion's Lair
Wrist;Mail;Obsidian-Hardened Wraps;V;>;C;Neltharus
Wrist;Mail;Fierce Boreal Armguards;H;>;M;Uldaman
Wrist;Mail;Raoul's Barrelhook Bracers;H;;V;Freehold
Wrist;Mail;Bitestone Wristwrap;H;>>;V;Neltharion's Lair
Hands;Mail;Torrential Downpour Gauntlets;H;>;V;Halls of Infusion
Hands;Mail;Rock Shoveler's;V;>;H;Uldaman
Hands;Mail;Blood Tick Crushers;C;;V;Underrot
Hands;Mail;Bite-Resistant Chain Gloves;V;;H;Freehold
Hands;Mail;Gauntlets of Innumerable Barbs;M;>>;C;Neltharion's Lair
Waist;Mail;Swollen Bark Clasp;C;>;H;Brackenhide Hollow
Waist;Mail;Gatekeeper's Girdle;C;>;V;Uldaman
Waist;Mail;Waistguard of Sanguine Fervor;H;;V;Underrot
Waist;Mail;Chain-Linked Safety Cord;V;;M;Freehold
Waist;Mail;Boulderbuckle Strap;H;>;M;Neltharion's Lair
Waist;Mail;Hail-Strung Belt;C;>;M;Vortex Pinnacle
Legs;Mail;Tassets of Densified Ooze;M;>;V;Brackenhide Hollow
Legs;Mail;Corpuscular Greaves;H;;C;Underrot
Legs;Mail;Faultline Leggings;C;>;M;Neltharion's Lair
Feet;Mail;Pristine Magma Stompers;C;>;H;Neltharus
Feet;Mail;Warders of the Infested;M;;V;Underrot
Feet;Mail;Shell-Kickers;M;;C;Freehold
Feet;Mail;Bitestone Boots;H;>;V;Neltharion's Lair
Head;Plate;Earthsahker's Steel Visor;M;>;V;Halls of Infusion
Head;Plate;Decay Mother's Wrathful Gaze;V;>;H;Brackenhide Hollow
Head;Plate;Old Seafarer's Headpiece;H;>;C;Uldaman
Head;Plate;Subterranean Horror Faceguard;M;>;H;Neltharion's Lair
Head;Plate;Headcover of Fog;M;>;C;Vortex Pinnacle
Head;Plate;Lunar Halo;C;=;H;Vortex Pinnacle
Shoulders;Plate;Mantle of Crushing Waves;V;>;M;Halls of Infusion
Shoulders;Plate;Pauldrons of Immutable Truth;C;>;H;Uldaman
Shoulders;Plate;Tremorguard Pauldrons;M;>;C;Neltharion's Lair
Chest;Plate;Breastplate of Arterial Protection;C;>;H;Underrot
Chest;Plate;Rockbound Chestguard;H;>;V;Neltharion's Lair
Wrist;Plate;Binders of the Moldering;V;>;H;Brackenhide Hollow
Wrist;Plate;Excavated Earthen Wristlabs;H;>;C;Uldaman
Wrist;Plate;Phosphorescent Armplates;C;;M;Underrot
Wrist;Plate;Concealed Fencing Plates;V;;C;Freehold
Wrist;Plate;Deepfurrow Bracers;C;>;H;Neltharion's Lair
Hands;Plate;Forgemaster's Grips;H;>;V;Neltharus
Hands;Plate;Gauntlets of Incalculable Power;M;>;C;Halls of Infusion
Hands;Plate;Keeper's Iron Grips;C;>;M;Uldaman
Hands;Plate;Sharktooth-Knuckled Grips;V;;H;Freehold
Hands;Plate;Rumblestone Handguards;V;>;H;Neltharion's Lair
Waist;Plate;Ravenous Omnivore's Girdle;C;>;M;Halls of Infusion
Waist;Plate;Trapmaster's Utility Belt;H;>;V;Brackenhide Hollow
Waist;Plate;Zancha's Venerated Greatbelt;M;;V;Underrot
Waist;Plate;Sharkbait Harness Girdle;H;;V;Freehold
Waist;Plate;Greystone Belt;H;>;C;Neltharion's Lair
Legs;Plate;Fural's Blazing Faulds;M;>;H;Neltharus
Legs;Plate;Legplates of Profane Sacrifice;H;;C;Underrot
Legs;Plate;Sharkwater Waders;M;;H;Freehold
Legs;Plate;Rocksolid Legplates;H;>>;M;Neltharion's Lair
Legs;Plate;Legguards of Winnowing Wind;M;>;C;Vortex Pinnacle
Feet;Plate;Pristine Magma Stompers;C;>;H;Neltharus
Feet;Plate;Flourescent Flora Stompers;H;;V;Underrot
Feet;Plate;Rockbound Sabatons;H;>>;V;Neltharion's Lair
Feet;Plate;Darksky Treads;C;=;M;Vortex Pinnacle
Back;Back;Mammoth-Trainer's Drape;M;>;C;Neltharus
Back;Back;Sporecaller's Shroud;V;>;C;Underrot
Back;Back;Parrotfeather Cloak;C;>;M;Freehold
Back;Back;Putrid Carapace;M;>;C;Neltharion's Lair
Back;Back;Billowing Cape;V;=;M;Vortex Pinnacle
Back;Back;Shadow of Perfect Bliss;C;>;H;Vortex Pinnacle
Back;Back;Billowing Skydrape;C;~;M;Vortex Pinnacle
Neck;Neck;Tuskarr Bone Necklace;C;>;V;Brackenhide Hollow
Neck;Neck;Bromach's Disentombed Locket;H;>>;M;Uldaman
Neck;Neck;Chain of the Underking;C;>;M;Neltharion's Lair
Neck;Neck;Understone Gorget;C;>>;V;Neltharion's Lair
Neck;Neck;Ionized Choker;V;>;H;Vortex Pinnacle
Neck;Neck;Choker of Stolen Thunder;M;>>;H;Vortex Pinnacle
Neck;Neck;Red Sky Pendant;C;>>;M;Vortex Pinnacle
Ring;Ring;Scalebane Signet;M;>>;C;Neltharus
Ring;Ring;Circle of Ascended Frost;H;>>;V;Halls of Infusion
Ring;Ring;Bloodied Wedding Ring;M;>;V;Brackenhide Hollow
Ring;Ring;Eternal Sentry's Ring;C;>>;H;Uldaman
Ring;Ring;Loop of Pulsing Veins;H;>;M;Underrot
Ring;Ring;Seal of Questionable Loyalties;H;>>;C;Freehold
Ring;Ring;Loop of Vitriolic Intent;H;>>;M;Neltharion's Lair
Ring;Ring;Band of the Wyrm Matron;C;>;V;Neltharion's Lair
Ring;Ring;Ring of Frozen Rain;V;>;C;Vortex Pinnacle
Ring;Ring;Skyshard Ring;C;>;H;Vortex Pinnacle
One Hand;Dagger - Agi;Croaking Dagger;V;>;C;Halls of Infusion
One Hand;Dagger - Agi;Rot-Carved Totemic Shank;C;>;V;Brackenhide Hollow
One Hand;Dagger - Agi;Unearthed Trogglodicer;V;>;H;Uldaman
One Hand;Dagger - Agi;Heart-Piercing Stalactite;M;;C;Underrot
One Hand;Dagger - Agi;Jolly's Boot Dagger;V;;M;Freehold
One Hand;Dagger - Int;Searing Tusk Shard;M;>;V;Neltharus
One Hand;Dagger - Int;Biting Wind;C;>;H;Vortex Pinnacle
One Hand;Fist Weapon - Agi;Dragonscale Ripper;C;>;V;Neltharus
One Hand;Fist Weapon - Agi;Bile-Stained Crawg Tusks;X;;X;Underrot
One Hand;1h Axe - Str;Tongue Hacker;V;>;H;Halls of Infusion
One Hand;1h Axe - Str;Axe of the Eclipse;M;>;C;Vortex Pinnacle
One Hand;1h Mace - Str;Sharkbait's Fishhook;V;;C;Freehold
One Hand;1h Mace - Agi | Str;Forgestorm;H;~;C;Neltharus
One Hand;1H Mace - Int;Decatriarch's Bone Pestle;M;>;C;Brackenhide Hollow
One Hand;1H Mace - Int;Leaxa's Thought-Piercer;H;;C;Underrot
One Hand;1h Mace - Agi;Bouldersplitter;V;>;M;Uldaman
One Hand;1h Mace - Agi;Bloody Tiderunner;H;;C;Freehold
Two Hand;2H Axe - Str;Corruption Borne Headlopper;M;;V;Underrot
Two Hand;2H Axe - Str;Hate-Sculpted Magma;H;>;V;Neltharion's Lair
Two Hand;2H Axe - Str;Thundercleaver Axe;M;=;H;Vortex Pinnacle
Two Hand;2H Mace - Str;Sargha's Smasher;H;>;C;Neltharus
Two Hand;2H Mace - Str;Bough of Deterioration;M;>;C;Brackenhide Hollow
Two Hand;2H Sword - Str;Undertow Tideblade;C;>;M;Halls of Infusion
Two Hand;2H Sword - Str;Jeweled Sharksplitter;H;;V;Freehold
Two Hand;Polearm - Agi;Poached Kalu'ak Spear;C;>;H;Brackenhide Hollow
Two Hand;Polearm - Agi;Vile Exsanguinator;M;;H;Underrot
Two Hand;Polearm - Agi;Sentinel's Battle Lance;V;>;M;Uldaman
Two Hand;2H Mace - Int;Ancestral Stoneshaper;M;>;H;Brackenhide Hollow
Two Hand;Staff - Int;Infinite Dragonspire;H;>;C;Uldaman
Two Hand;Crossbow;Gutshot's Trophy Hunter;M;>;H;Brackenhide Hollow
Two Hand;Gun;Titan-Forged Blaster;M;>;V;Halls of Infusion
Two Hand;Gun;Vault Piercer;H;>;M;Uldaman
Two Hand;Gun;Captain's Diplomacy;V;;C;Freehold
Two Hand;Gun;Thundercall;M;>;H;Vortex Pinnacle
Two Hand;Gun;Lightning Flash;C;>;H;Vortex Pinnacle
Off-hand;OH - Int;Irontorch Igniter;C;>;H;Neltharus
Off-hand;OH - Int;Rod of Perfect Order;H;>;M;Halls of Infusion
Off-hand;OH - Int;Rod of Crystalline Energies;H;>;C;Neltharion's Lair
Off-hand;Shield;Targe of the Ancient Warder;C;;M;Underrot
Off-hand;Shield;Qalashi Defender;C;>;M;Neltharus
Off-hand;Shield;Stout Shield;C;>;M;Uldaman
Off-hand;Shield;Monstrous Gluttony;V;~;C;Neltharion's Lair
Trinket;Tank;Treemouth's Festering Splinter;Agi|Str;;On Use;Brackenhide Hollow
Trinket;MDPS;Frenzying Signol Flare;Str;;Proc;Brackenhide Hollow
Trinket;RDPS;Idol of Pure Decay;Int;;Proc;Brackenhide Hollow
Trinket;All;Irideus Fragment;Mastery;;On Use;Halls of Infusion
Trinket;MDPS;Globe of Jagged Ice;Agi;;On Use;Halls of Infusion
Trinket;Healer;Water's Beating Heart;Int;;On Use;Halls of Infusion
Trinket;Caster;Spoils of Neltharus;Int;;On Use;Neltharus
Trinket;RDPS;Erupting Spear Fragment;Agi|Int;;On Use;Neltharus
Trinket;MDPS;Mutated Magmammoth Scale;Agi|Str;;Proc;Neltharus
Trinket;MDPS;Homeland Raid Horn;Agi|Str;;On Use;Uldaman
Trinket;Tank;Inexorable Resonator;Stamina;;Proc;Uldaman
Trinket;Caster;Time-Breaching Talon;Haste;;On Use;Uldaman
Trinket;Tank;Lingering Sporepods;Agi|Str;;Proc;Underrot
Trinket;RDPS;Rotcrusted Voodoo Doll;Int;;On Use;Underrot
Trinket;MDPS;Vial of Animated Blood;Mastery;;On Use;Underrot
Trinket;MDPS;Harlan's Loaded Dice;Agi;;Proc;Freehold
Trinket;Tank;Shard of Rokmora;Agi|Str;;On Use;Neltharion's Lair
Trinket;MDPS;Mark of Dargrul;Crit;;Proc;Neltharion's Lair
Trinket;Tank;Talisman of the Cragshaper;Vers;;On Use;Neltharion's Lair
Trinket;RDPS;Naraxas' Spiked Tongue;Mastery;;Proc;Neltharion's Lair
Trinket;Tank;Heart of Thunder;Vers;;On Use;Vortex Pinnacle
Trinket;Healer;Rainsong;Vers;;Proc;Vortex Pinnacle
Hands;Tier;Mixing;Tier;;Tier;ExperimentsX
Legs;Tier;Cooling;Tier;;Tier;RashokX
Chest;Tier;Ventilation;Tier;;Tier;ZskarnX
Head;Tier;Melting;Tier;;Tier;MagmoraxX
Shoulder;Tier;Corrupting;Tier;;Tier;NeltharionX
