*Slot;Type;*Item;Main Stat;Operator;Sec Stat;Dungeon
One Hand;Fist Weapon - Agi;Claws of the Blazing Behemoth;M;>>;H;Magmorax
One Hand;1H Axe - Agi;Wallclimber's Incursion Hatchet;C;>>;V;Zaqali
One Hand;1H Axe - Str;Proctor's Tactical Cleaver;H;>;C;Zskarn
One Hand;1H Mace - Str;Scholar's Thinking Cudgel;V;>>;H;Amalgamation
One Hand;1H Mace - Int;Bloodfire Extraction Conduit;H;>>;V;Rashok
One Hand;1H Mace - Int;Lavaflow Control Rod;H;>>;V;Magmorax
One Hand;Warglaives;Rionthus's Bladed Visage;H;>>;C;Experiments
Two Hand;2H Axe - Str;Ashkandur: Fall of the Brotherhood;M;~;C;Neltharion
Two Hand;Polearm - Str;Infernal Shadelance;H;>;M;Kazzara
Two Hand;Polearm - Agi;Djaruun: Pillar of the Elder Flame;H;>>;M;Rashok
Two Hand;Staff - Agi;Obsidian Stirring Staff;V;>>;M;Amalgamation
Two Hand;Staff - Int;Erethos: the Empty Promise;V;>>;H;Sarkareth
Two Hand;Bow;Brutal Dragonslayer's Trophy;C;>>;H;Zaqali
Two Hand;Gun;Failure Disposal Cannon;H;~;M;Zskarn
Off-hand;OH - Int;Thadrion's Erratic Arcanotrode;M;>>;H;Experiments
Off-hand;OH - Int;Echo's Maddening Volume;M;>>;H;Neltharion
Off-hand;Shield;Experiment 1: Kitewing;V;>>;C;Experiments
Off-hand;Shield;Calamity's Herald;M;>>;H;Neltharion
Trinket;Tank;Enduring Dreadplate;Agi|Str;;On Use;Kazzara
Trinket;All;Screaming Black Dragonscale;All;;Proc;Kazzara
Trinket;MDPS;Elementium Pocket Anvil;Agi|Str;;On Use;Amalgamation
Trinket;RDPS;Vessel of Searing Shadow;Int;;Proc;Amalgamation
Trinket;All;Ominous Chromatic Essence;All;;Passive;Experiments
Trinket;MDPS;Zaqali Chaos Grapnel;Str;;On Use;Zaqali
Trinket;Healer;Rashok's Molten Heart;Int;;Proc;Rashok
Trinket;MDPS;Dragonfire Bomb Dispenser;Agi;;On Use;Zskarn
Trinket;RDPS;Igneous Flowstone;Agi|Int;;Passive;Magmorax
Trinket;Tank | Healer;Ward of Faceless Ire;All;;On Use;Neltharion
Trinket;All;Neltharion's Class trinket;All;;Proc;Neltharion
Trinket;All;Beacon to the Beyond;M;;On Use;Sarkareth
Hands;Tier;Mixing;Tier;;Tier;Experiments
Legs;Tier;Cooling;Tier;;Tier;Rashok
Chest;Tier;Ventilation;Tier;;Tier;Zskarn
Head;Tier;Melting;Tier;;Tier;Magmorax
Shoulder;Tier;Corrupting;Tier;;Tier;Neltharion
