item_id,release,from,boss,gear_slot,gear_type,stats,WarlockDest
0,M0,Int2hWeapon (Warlock),4 sources,Two-Hand,m0 week,,23%
133288,M0,Grim Batol,2nd boss,Ranged,Wand,Int,33%
0,M0,Ranged (Warlock),1 sources,Ranged,m0 week,,7%
221172,Hc+M0,City of Threads,2nd boss,Held In Off-hand,,Int,25%
221132,Hc+M0,Dawnbreaker,1st boss,Held In Off-hand,,Int,33%
0,M0,Offhand (Warlock),2 sources,Held In Off-hand,m0 week,,11%
219314,Hc+M0,Ara-Kara,1st boss,Trinket,Anyrole Trinket,,50%
219317,Hc+M0,Ara-Kara,Last boss,Trinket,Anyrole Trinket,"Agi,Int",33%
219318,Hc+M0,City of Threads,1st boss,Trinket,Anyrole Trinket,,33%
219321,Hc+M0,City of Threads,Last boss,Trinket,Anyrole Trinket,Int,33%
219312,Hc+M0,Dawnbreaker,2nd boss,Trinket,Anyrole Trinket,"Agi,Int",50%
219303,Hc+M0,Stonevault,Last boss,Trinket,Anyrole Trinket,,50%
133305,M0,Grim Batol,Last boss,Trinket,Anyrole Trinket,,20%
178708,M0,Mists of Tirna,1st boss,Trinket,Anyrole Trinket,Int,33%
219319,Hc+M0,City of Threads,2nd boss,Trinket,Dps Trinket,Agi,25%
219301,Hc+M0,Stonevault,3rd boss,Trinket,Dps Trinket,,25%
178772,M0,Necrotic Wake,3rd boss,Trinket,Dps Trinket,Int,50%
159622,M0,Siege of Boralus,3rd boss,Trinket,Dps Trinket,Int,50%
0,M0,AnyroleTrinket (Warlock),8 sources,Trinket,m0 week,,47%
0,M0,DpsTrinket (Warlock),4 sources,Trinket,m0 week,,27%
