item_id,release,from,boss,gear_slot,gear_type,stats,HunterMm
178707,M0,Mists of Tirna,2nd boss,Neck,,M>C,33%
0,M0,Neck (Hunter),4 sources,Neck,m0 week,,27%
221154,Hc+M0,Ara-Kara,2nd boss,Back,,V>C,50%
225574,Hc+M0,Dawnbreaker,Last boss,Back,,C>H,33%
221088,Hc+M0,Stonevault,3rd boss,Back,,M>H,50%
133292,M0,Grim Batol,3rd boss,Back,,V>C,33%
133363,M0,Grim Batol,3rd boss,Back,,M>C,33%
133309,M0,Grim Batol,Last boss,Back,,V>C,25%
0,M0,Back (Hunter),6 sources,Back,m0 week,,37%
221189,Hc+M0,City of Threads,Last boss,Finger,,,50%
221136,Hc+M0,Dawnbreaker,1st boss,Finger,,,100%
221141,Hc+M0,Dawnbreaker,2nd boss,Finger,,,25%
133286,M0,Grim Batol,1st boss,Finger,,M>C,33%
133287,M0,Grim Batol,2nd boss,Finger,,V>C,50%
133299,M0,Grim Batol,Last boss,Finger,,H>M,25%
178736,M0,Necrotic Wake,1st boss,Finger,,H>V,33%
178781,M0,Necrotic Wake,Last boss,Finger,,V>C,50%
162541,M0,Siege of Boralus,1st boss,Finger,,M>C,50%
159461,M0,Siege of Boralus,3rd boss,Finger,,C>H,33%
0,M0,Ring (Hunter),10 sources,Finger,m0 week,,61%
0,M0,Agi2hWeapon (Hunter),3 sources,Two-Hand,m0 week,,0%
221089,Hc+M0,Stonevault,Last boss,Ranged,Crossbow,Agi,50%
221074,Hc+M0,Stonevault,1st boss,Ranged,Gun,Agi,33%
178735,M0,Necrotic Wake,1st boss,Ranged,Gun,Agi,33%
0,M0,Ranged (Hunter),3 sources,Ranged,m0 week,,21%
219314,Hc+M0,Ara-Kara,1st boss,Trinket,Anyrole Trinket,,50%
219317,Hc+M0,Ara-Kara,Last boss,Trinket,Anyrole Trinket,"Agi,Int",50%
219318,Hc+M0,City of Threads,1st boss,Trinket,Anyrole Trinket,,50%
219312,Hc+M0,Dawnbreaker,2nd boss,Trinket,Anyrole Trinket,"Agi,Int",25%
219303,Hc+M0,Stonevault,Last boss,Trinket,Anyrole Trinket,,50%
133282,M0,Grim Batol,1st boss,Trinket,Anyrole Trinket,Agi,33%
133305,M0,Grim Batol,Last boss,Trinket,Anyrole Trinket,,25%
178715,M0,Mists of Tirna,2nd boss,Trinket,Anyrole Trinket,Agi,33%
178742,M0,Necrotic Wake,2nd boss,Trinket,Anyrole Trinket,Agi,50%
159623,M0,Siege of Boralus,2nd boss,Trinket,Anyrole Trinket,Agi,33%
219319,Hc+M0,City of Threads,2nd boss,Trinket,Dps Trinket,Agi,50%
219301,Hc+M0,Stonevault,3rd boss,Trinket,Dps Trinket,,50%
178772,M0,Necrotic Wake,3rd boss,Trinket,Dps Trinket,Int,50%
159622,M0,Siege of Boralus,3rd boss,Trinket,Dps Trinket,Int,33%
0,M0,AnyroleTrinket (Hunter),10 sources,Trinket,m0 week,,57%
0,M0,DpsTrinket (Hunter),4 sources,Trinket,m0 week,,32%
