item_id,release,from,boss,gear_slot,gear_type,stats,PaladinHoly
159427,M0,Siege of Boralus,1st boss,Legs,Plate,M>V,50%
0,M0,Legs (Paladin),5 sources,Legs,m0 week,,41%
221178,Hc+M0,City of Threads,3rd boss,Feet,Plate,V>H,25%
159428,M0,Siege of Boralus,3rd boss,Feet,Plate,H>C,50%
0,M0,Feet (Paladin),2 sources,Feet,m0 week,,15%
221181,Hc+M0,City of Threads,3rd boss,Neck,,,25%
212448,Hc+M0,Dawnbreaker,Last boss,Neck,,,33%
221077,Hc+M0,Stonevault,1st boss,Neck,,,50%
178707,M0,Mists of Tirna,2nd boss,Neck,,M>C,33%
0,M0,Neck (Paladin),4 sources,Neck,m0 week,,25%
221154,Hc+M0,Ara-Kara,2nd boss,Back,,V>C,50%
225574,Hc+M0,Dawnbreaker,Last boss,Back,,C>H,33%
221088,Hc+M0,Stonevault,3rd boss,Back,,M>H,33%
133292,M0,Grim Batol,3rd boss,Back,,V>C,33%
133363,M0,Grim Batol,3rd boss,Back,,M>C,33%
133309,M0,Grim Batol,Last boss,Back,,V>C,33%
0,M0,Back (Paladin),6 sources,Back,m0 week,,36%
221189,Hc+M0,City of Threads,Last boss,Finger,,,33%
221136,Hc+M0,Dawnbreaker,1st boss,Finger,,,33%
221141,Hc+M0,Dawnbreaker,2nd boss,Finger,,,33%
133286,M0,Grim Batol,1st boss,Finger,,M>C,50%
133287,M0,Grim Batol,2nd boss,Finger,,V>C,33%
133299,M0,Grim Batol,Last boss,Finger,,H>M,33%
178736,M0,Necrotic Wake,1st boss,Finger,,H>V,50%
178781,M0,Necrotic Wake,Last boss,Finger,,V>C,33%
162541,M0,Siege of Boralus,1st boss,Finger,,M>C,50%
159461,M0,Siege of Boralus,3rd boss,Finger,,C>H,50%
0,M0,Ring (Paladin),10 sources,Finger,m0 week,,56%
178709,M0,Mists of Tirna,1st boss,One-Hand,Mace,Int,33%
221150,Hc+M0,Ara-Kara,1st boss,One-Hand,Sword,Int,33%
178737,M0,Necrotic Wake,2nd boss,One-Hand,Sword,Int,50%
0,M0,Int1hWeapon (Paladin),3 sources,One-Hand,m0 week,,21%
0,M0,Str1hWeapon (Paladin),5 sources,One-Hand,m0 week,,0%
221083,Hc+M0,Stonevault,2nd boss,Two-Hand,Mace,Int,50%
0,M0,Int2hWeapon (Paladin),1 sources,Two-Hand,m0 week,,10%
0,M0,Str2hWeapon (Paladin),6 sources,Two-Hand,m0 week,,0%
221172,Hc+M0,City of Threads,2nd boss,Held In Off-hand,,Int,50%
221132,Hc+M0,Dawnbreaker,1st boss,Held In Off-hand,,Int,33%
0,M0,Offhand (Paladin),2 sources,Held In Off-hand,m0 week,,16%
221177,Hc+M0,City of Threads,3rd boss,Off Hand,Shield,"Str,Int",25%
221073,Hc+M0,Stonevault,1st boss,Off Hand,Shield,"Str,Int",50%
178712,M0,Mists of Tirna,Last boss,Off Hand,Shield,"Str,Int",50%
178750,M0,Necrotic Wake,3rd boss,Off Hand,Shield,"Str,Int",50%
0,M0,Shield (Paladin),4 sources,Off Hand,m0 week,,31%
219314,Hc+M0,Ara-Kara,1st boss,Trinket,Anyrole Trinket,,33%
219317,Hc+M0,Ara-Kara,Last boss,Trinket,Anyrole Trinket,"Agi,Int",50%
219318,Hc+M0,City of Threads,1st boss,Trinket,Anyrole Trinket,,50%
219321,Hc+M0,City of Threads,Last boss,Trinket,Anyrole Trinket,Int,33%
219312,Hc+M0,Dawnbreaker,2nd boss,Trinket,Anyrole Trinket,"Agi,Int",33%
219303,Hc+M0,Stonevault,Last boss,Trinket,Anyrole Trinket,,50%
133305,M0,Grim Batol,Last boss,Trinket,Anyrole Trinket,,33%
178708,M0,Mists of Tirna,1st boss,Trinket,Anyrole Trinket,Int,33%
219320,Hc+M0,City of Threads,3rd boss,Trinket,Heal Trinket,Int,25%
219302,Hc+M0,Stonevault,3rd boss,Trinket,Heal Trinket,Int,33%
133304,M0,Grim Batol,2nd boss,Trinket,Heal Trinket,,33%
178783,M0,Necrotic Wake,Last boss,Trinket,Heal Trinket,Int,33%
0,M0,AnyroleTrinket (Paladin),9 sources,Trinket,m0 week,,48%
0,M0,DpsTrinket (Paladin),4 sources,Trinket,m0 week,,0%
0,M0,HealTrinket (Paladin),4 sources,Trinket,m0 week,,23%
0,M0,TankTrinket (Paladin),3 sources,Trinket,m0 week,,0%
