,Siege of Boralus,3rd,m0,C>H,50%,33%,33%,,,159461
"Ring (Druid, m0)",10 available in m0,,m0,,58%,55%,,,54%,
,,,,,,,,,,
,Ara-Kara,Last,both,Int,33%,,0%,0%,,221165
,City of Threads,2nd,both,Int,33%,25%,0%,0%,,221171
,,,,,,,,,,
,Grim Batol,1st,m0,Int,33%,,0%,0%,,133283
,Mists of Tirna,1st,m0,Int,33%,,0%,0%,,178709
"Int1hWeapon (Druid, m0)",4 available in m0,,m0,,24%,23%,0%,0%,,
,,,,,,,,,,
,,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Druid,DruidBoomie,DruidCat,DruidBear,DruidResto,ID
,Ara-Kara,Last,both,Agi,33%,0%,,,0%,221159
,Dawnbreaker,2nd,both,Agi,25%,0%,,,0%,221137
,Stonevault,1st,both,Agi,50%,0%,,33%,0%,221078
,,,,,,,,,,
"Agi2hWeapon (Druid, m0)",3 available in m0,,m0,,20%,0%,,17%,0%,
,,,,,,,,,,
,City of Threads,1st,both,Int,33%,,0%,0%,,221166
,Stonevault,2nd,both,Int,50%,,0%,0%,,221083
,Stonevault,3rd,both,Int,33%,,0%,0%,,221085
,,,,,,,,,,
,Grim Batol,Last,m0,Int,20%,,0%,0%,,133303
,Mists of Tirna,Last,m0,Int,33%,,0%,0%,,178714
"Int2hWeapon (Druid, m0)",5 available in m0,,m0,,30%,,0%,0%,,
,,,,,,,,,,
,,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Druid,DruidBoomie,DruidCat,DruidBear,DruidResto,ID
,City of Threads,2nd,both,Int,33%,25%,0%,0%,,221172
,Dawnbreaker,1st,both,Int,33%,,0%,0%,,221132
,,,,,,,,,,
"Offhand (Druid, m0)",2 available in m0,,m0,,13%,11%,0%,0%,,
,,,,,,,,,,
,City of Threads,2nd,both,"Dps,Agi",50%,25%,,0%,0%,219319
,Stonevault,3rd,both,"Dps,",50%,33%,,0%,0%,219301
,,,,,,,,,,
,Necrotic Wake,3rd,m0,"Dps,Int",50%,,,0%,0%,178772
,Siege of Boralus,3rd,m0,"Dps,Int",33%,,,0%,0%,159622
"DpsTrinket (Druid, m0)",4 available in m0,,m0,,32%,25%,,0%,0%,
,,,,,,,,,,
,,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Druid,DruidBoomie,DruidCat,DruidBear,DruidResto,ID
,City of Threads,3rd,both,"Heal,Int",33%,0%,0%,0%,,219320
,Stonevault,3rd,both,"Heal,Int",33%,0%,0%,0%,,219302
,,,,,,,,,,
,Grim Batol,2nd,m0,"Heal,",33%,0%,0%,0%,,133304
,Necrotic Wake,Last,m0,"Heal,Int",33%,0%,0%,0%,,178783
"HealTrinket (Druid, m0)",4 available in m0,,m0,,24%,0%,0%,0%,,
,,,,,,,,,,
,Ara-Kara,2nd,both,"Tank,Agi,Str",33%,0%,0%,,0%,219316
,Stonevault,1st,both,"Tank,Agi,Str",33%,0%,0%,,0%,219315
,,,,,,,,,,
,Grim Batol,2nd,m0,"Tank,",33%,0%,0%,,0%,133291
"TankTrinket (Druid, m0)",3 available in m0,,m0,,19%,0%,0%,,0%,
,,,,,,,,,,
,,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Druid,DruidBoomie,DruidCat,DruidBear,DruidResto,ID
,Ara-Kara,1st,both,,50%,,,,,219314
,Ara-Kara,Last,both,"Agi,Int",33%,,,,,219317
,City of Threads,1st,both,,50%,33%,,,33%,219318
,City of Threads,Last,both,Int,33%,,0%,0%,,219321
,Dawnbreaker,2nd,both,"Agi,Int",33%,,25%,25%,,219312
,Stonevault,Last,both,,50%,,,,,219303
,,,,,,,,,,
,Grim Batol,1st,m0,Agi,33%,0%,,,0%,133282
,Grim Batol,Last,m0,,25%,20%,,,20%,133305
,Mists of Tirna,1st,m0,Int,33%,,0%,0%,,178708
,Mists of Tirna,2nd,m0,Agi,33%,0%,,,0%,178715
,Necrotic Wake,2nd,m0,Agi,50%,0%,,,0%,178742
,Siege of Boralus,2nd,m0,Agi,33%,0%,,,0%,159623
"AnyroleTrinket (Druid, m0)",10 available in m0,,m0,,55%,45%,,,45%,
