Type,Dungeon,Boss,Week,stats,Dk,DkBlood,DkFrost,DkUnholy,DhHavoc,DhVeng,DruidBoomie,DruidCat,DruidBear,DruidResto,EvokerDev,EvokerPres,EvokerAug,HunterBm,HunterMm,HunterSv,MageArcane,MageFire,MageFrost,MonkBrew,MonkMw,MonkWw,PaladinHoly,PaladinProt,PaladinRet,PriestDisc,PriestHoly,PriestShadow,RogueSin,RogueOutlaw,RogueSub,ShamanEle,ShamanEnh,ShamanResto,WarlockAff,WarlockDemo,WarlockDest,WarriorArms,WarriorFury,WarriorProt,ID
,Necrotic Wake,3rd,m0,M>C,0%,,,,50%,,50%,50%,,,,,,,,,,,,,,50%,,,,,,,33%,,33%,,,,,,,,,,178744
,Siege of Boralus,Last,m0,C>H,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231822
,City of Threads,3rd,both,M>V,0%,,,,,,,,,,,33%,,,,,,,,,,,,,,,,,,,,33%,,25%,,,,,,,221179
,Siege of Boralus,Last,m0,M>H,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231825
,Ara-Kara,Last,both,V>H,100%,,,,,,,,,,,,,,,,,,,,,,50%,,,,,,,,,,,,,,,,,,221161
,Dawnbreaker,2nd,both,C>V,50%,,,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,,,,,,221139
,Siege of Boralus,Last,m0,M>H,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231827
"Chest (Evoker, m0)",2 available in m0,,m0,,,,,,,,,,,,,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chest (Hunter, m0)",2 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chest (Mage, m0)",2 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chest (Priest, m0)",2 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15%,,,,,,,,,,,,,
"Chest (Shaman, m0)",2 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16%,,15%,,,,,,,
"Chest (Warlock, m0)",2 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chest (Dk, m0)",3 available in m0,,m0,,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chest (Paladin, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,24%,,,,,,,,,,,,,,,,,,
"Chest (Warrior, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chest (Dh, m0)",6 available in m0,,m0,,,,,,46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chest (Druid, m0)",6 available in m0,,m0,,,,,,,,37%,48%,,44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chest (Monk, m0)",6 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,46%,48%,,,,,,,,,,,,,,,,,,,
"Chest (Rogue, m0)",6 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44%,,44%,,,,,,,,,,
,City of Threads,3rd,both,H>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,33%,33%,,,,,,,,,,,,,,221182
,Grim Batol,3rd,m0,H>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133295
,Mists of Tirna,1st,m0,H>V,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178704
,Necrotic Wake,Last,m0,M>V,0%,,,,,,,,,,,,,,,,,,,,,,,,,33%,33%,,,,,,,,,,,,,,178782
,Siege of Boralus,Last,m0,M>H,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159256
,Ara-Kara,2nd,both,C>M,0%,,,,,33%,,,33%,,,,,,,,,,,33%,,,,,,,,,,,,,,,,,,,,,221157
,Dawnbreaker,2nd,both,H>C,0%,,,,,,,25%,25%,,,,,,,,,,,25%,,25%,,,,,,,25%,,25%,,,,,,,,,,221142
,Mists of Tirna,Last,m0,C>V,0%,,,,,,33%,,,33%,,,,,,,,,,,33%,,,,,,,,,,,,,,,,,,,,178702
,Necrotic Wake,2nd,m0,H>V,0%,,,,,,,50%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178741
,City of Threads,2nd,both,C>M,0%,,,,,,,,,,25%,,25%,,,,,,,,,,,,,,,,,,,25%,,33%,,,,,,,221174
,Mists of Tirna,Last,m0,M>V,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33%,,33%,,,,,,,178703
,Siege of Boralus,2nd,m0,V>H,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,159372
,City of Threads,1st,both,H>V,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221167
,Dawnbreaker,Last,both,C>H,25%,,,,,,,,,,,,,,,,,,,,,,,25%,25%,,,,,,,,,,,,,,,,212437
,Grim Batol,1st,m0,M>H,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133306
"Wrists (Dk, m0)",3 available in m0,,m0,,23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wrists (Evoker, m0)",3 available in m0,,m0,,,,,,,,,,,,23%,,23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wrists (Hunter, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wrists (Paladin, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,23%,23%,,,,,,,,,,,,,,,,
"Wrists (Shaman, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,,21%,,,,,,,
"Wrists (Warrior, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wrists (Dh, m0)",4 available in m0,,m0,,,,,,,29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wrists (Druid, m0)",4 available in m0,,m0,,,,,,,,,31%,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wrists (Monk, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,28%,29%,,,,,,,,,,,,,,,,,,,,
"Wrists (Rogue, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31%,,31%,,,,,,,,,,
"Wrists (Mage, m0)",5 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wrists (Priest, m0)",5 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,30%,30%,,,,,,,,,,,,,,
"Wrists (Warlock, m0)",5 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,City of Threads,1st,both,C>V,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221170
,Mists of Tirna,2nd,m0,H>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178705
,Necrotic Wake,3rd,m0,M>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,50%,,,,,,,,,,,,,178748
,Siege of Boralus,2nd,m0,C>M,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159237
,City of Threads,3rd,both,H>C,0%,,,,,,,,,33%,,,,,,,,,,,33%,,,,,,,,,,,,,,,,,,,,221180
,Siege of Boralus,1st,m0,H>M,0%,,,,,,,,,,,,,,,,,,,33%,,33%,,,,,,,,33%,,,,,,,,,,,159968
,Ara-Kara,Last,both,V>H,0%,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,,,,33%,,33%,,,,,,,221162
,Stonevault,2nd,both,V>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50%,,50%,,,,,,,221080
,Ara-Kara,1st,both,H>V,50%,,,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,,,,,,221151
,Stonevault,3rd,both,H>C,50%,,33%,33%,,,,,,,,,,,,,,,,,,,33%,,33%,,,,,,,,,,,,,33%,33%,,221086
,Mists of Tirna,2nd,m0,M>C,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178706
,Siege of Boralus,2nd,m0,C>M,50%,,33%,,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,,,33%,33%,159429
"Hands (Dh, m0)",2 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hands (Druid, m0)",2 available in m0,,m0,,,,,,,,,,,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hands (Evoker, m0)",2 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hands (Hunter, m0)",2 available in m0,,m0,,,,,,,,,,,,,,,,,25%,,,,,,,,,,,,,,,,,,,,,,,,,
"Hands (Monk, m0)",2 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hands (Rogue, m0)",2 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16%,,,,,,,,,,,
"Hands (Shaman, m0)",2 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16%,,16%,,,,,,,
"Hands (Dk, m0)",4 available in m0,,m0,,32%,,27%,29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hands (Mage, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hands (Paladin, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,27%,,,,,,,,,,,,,,,,,,
"Hands (Priest, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32%,,,,,,,,,,,,,
"Hands (Warlock, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hands (Warrior, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27%,,
,Ara-Kara,2nd,both,C>H,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221158
,Stonevault,3rd,both,V>M,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221087
,Siege of Boralus,1st,m0,H>M,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159965
,Dawnbreaker,1st,both,C>M,0%,,,,,,33%,,,33%,,,,,,,,,,,33%,,,,,,,,,,,,,,,,,,,,221134
,Dawnbreaker,Last,both,H>C,0%,,,,,,,,,,,,,,,,,,,25%,,25%,,,,,,,,25%,,,,,,,,,,,225583
,Grim Batol,2nd,m0,H>C,0%,,,,,33%,,,33%,33%,,,,,,,,,,33%,33%,,,,,,,,,,,,,,,,,,,,133353
,Mists of Tirna,Last,m0,H>V,0%,,,,,,33%,,,33%,,,,,,,,,,,33%,,,,,,,,,,,,,,,,,,,,178699
,Siege of Boralus,2nd,m0,H>C,0%,,,,,,,33%,33%,,,,,,,,,,,33%,,33%,,,,,,,,,,,,,,,,,,,159309
,City of Threads,1st,both,H>M,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33%,,33%,,,,,,,221168
,Stonevault,1st,both,H>M,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33%,,33%,,,,,,,221075
,Mists of Tirna,1st,m0,V>M,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25%,,25%,,,,,,,178700
,Siege of Boralus,3rd,m0,H>C,0%,,,,,,,,,,33%,,33%,,,,,,,,,,,,,,,,,,,33%,33%,,,,,,,,159386
,Dawnbreaker,1st,both,M>H,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221133
,Stonevault,2nd,both,C>M,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221079
,Grim Batol,2nd,m0,H>C,50%,33%,,,,,,,,,,,,,,,,,,,,,33%,33%,,,,,,,,,,,,,,,,33%,133289
,Necrotic Wake,1st,m0,M>V,50%,,33%,,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,,,33%,33%,178734
,Siege of Boralus,2nd,m0,C>V,50%,,33%,,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,,,33%,33%,159434
"Waist (Mage, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Waist (Priest, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Waist (Warlock, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Waist (Evoker, m0)",4 available in m0,,m0,,,,,,,,,,,,25%,,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Waist (Hunter, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Waist (Shaman, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23%,,25%,,,,,,,
"Waist (Dh, m0)",5 available in m0,,m0,,,,,,,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Waist (Dk, m0)",5 available in m0,,m0,,39%,36%,34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Waist (Druid, m0)",5 available in m0,,m0,,,,,,,,34%,,34%,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Waist (Monk, m0)",5 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,33%,32%,,,,,,,,,,,,,,,,,,,,
"Waist (Paladin, m0)",5 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,36%,32%,,,,,,,,,,,,,,,,,
"Waist (Rogue, m0)",5 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35%,,,,,,,,,,,
"Waist (Warrior, m0)",5 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34%,32%,
,Ara-Kara,Last,both,H>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221164
,Stonevault,1st,both,M>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221076
,Grim Batol,2nd,m0,H>M,0%,,,,,,,,,,,,,,,,,,,,,,,,,33%,33%,,,,,,,,,,,,,,133308
,Siege of Boralus,2nd,m0,V>H,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159250
,Ara-Kara,1st,both,M>C,0%,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,,,,,,,,221153
,Grim Batol,3rd,m0,H>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,25%,,25%,,,,,,,,,,133354
,Siege of Boralus,3rd,m0,C>H,0%,,,,33%,,33%,33%,,,,,,,,,,,,,,33%,,,,,,,,,,,,,,,,,,,159322
,City of Threads,Last,both,H>V,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33%,,33%,,,,,,,221186
,Necrotic Wake,Last,m0,V>H,0%,,,,,,,,,,,33%,,,,,,,,,,,,,,,,,,,,,,33%,,,,,,,178778
,Siege of Boralus,1st,m0,V>M,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,159969
,City of Threads,2nd,both,M>H,100%,,50%,50%,,,,,,,,,,,,,,,,,,,50%,,50%,,,,,,,,,,,,,50%,50%,,221173
,Stonevault,Last,both,M>C,50%,,33%,,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,,,33%,33%,221092
,Mists of Tirna,Last,m0,M>H,100%,,50%,,,,,,,,,,,,,,,,,,,,50%,33%,,,,,,,,,,,,,,,50%,33%,178701
,Necrotic Wake,2nd,m0,C>M,100%,,,,,,,,,,,,,,,,,,,,,,50%,,,,,,,,,,,,,,,,,,178739
,Siege of Boralus,1st,m0,M>V,33%,,,,,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,33%,33%,,159427
"Legs (Dh, m0)",3 available in m0,,m0,,,,,,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Legs (Druid, m0)",3 available in m0,,m0,,,,,,,,21%,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Legs (Evoker, m0)",3 available in m0,,m0,,,,,,,,,,,,,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Legs (Hunter, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Legs (Monk, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,21%,21%,,,,,,,,,,,,,,,,,,,
"Legs (Rogue, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,,20%,,,,,,,,,,
"Legs (Shaman, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21%,,,,,,,
"Legs (Mage, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Legs (Priest, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,29%,29%,,,,,,,,,,,,,,
"Legs (Warlock, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Legs (Dk, m0)",5 available in m0,,m0,,57%,,43%,52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Legs (Paladin, m0)",5 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,41%,50%,,,,,,,,,,,,,,,,,
"Legs (Warrior, m0)",5 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43%,50%,
