,Grim Batol,3rd,m0,H>C,33%,,,133354
,Siege of Boralus,3rd,m0,C>H,50%,33%,,159322
"Legs (Dh, m0)",3 available in m0,,m0,,24%,21%,,
,,,,,,,,
,City of Threads,1st,both,M>C,50%,,,221169
,,,,,,,,
,Necrotic Wake,1st,m0,V>C,50%,,,178731
,Siege of Boralus,2nd,m0,V>C,33%,,,159320
"Feet (Dh, m0)",3 available in m0,,m0,,24%,,,
,,,,,,,,
,,,,,,,,
Type,Dungeon,Boss,Week,stats,Dh,DhHavoc,DhVeng,ID
,City of Threads,3rd,both,V>C,50%,,,221181
,Dawnbreaker,Last,both,C>H,25%,,,212448
,Stonevault,1st,both,M>H,100%,,50%,221077
,,,,,,,,
,Mists of Tirna,2nd,m0,M>C,33%,,,178707
"Neck (Dh, m0)",4 available in m0,,m0,,36%,,28%,
,,,,,,,,
,Ara-Kara,2nd,both,V>C,50%,,33%,221154
,Dawnbreaker,Last,both,C>H,25%,,,225574
,Stonevault,3rd,both,M>H,100%,50%,,221088
,,,,,,,,
,Grim Batol,3rd,m0,V>C,33%,,,133292
,Grim Batol,3rd,m0,M>C,33%,,,133363
,Grim Batol,Last,m0,V>C,25%,,,133309
"Back (Dh, m0)",6 available in m0,,m0,,41%,36%,,
,,,,,,,,
,,,,,,,,
Type,Dungeon,Boss,Week,stats,Dh,DhHavoc,DhVeng,ID
,City of Threads,Last,both,V>H,50%,,,221189
,Dawnbreaker,1st,both,C>H,50%,,,221136
,Dawnbreaker,2nd,both,V>M,33%,,,221141
,,,,,,,,
,Grim Batol,1st,m0,M>C,33%,,,133286
,Grim Batol,2nd,m0,V>C,50%,,33%,133287
,Grim Batol,Last,m0,H>M,25%,,,133299
,Necrotic Wake,1st,m0,H>V,50%,,,178736
,Necrotic Wake,Last,m0,V>C,50%,,,178781
,Siege of Boralus,1st,m0,M>C,50%,,,162541
,Siege of Boralus,3rd,m0,C>H,50%,33%,,159461
"Ring (Dh, m0)",10 available in m0,,m0,,59%,,,
,,,,,,,,
,Ara-Kara,Last,both,Agi,33%,,,221160
,Dawnbreaker,Last,both,Agi,25%,,,212391
,Stonevault,2nd,both,Agi,50%,,,221084
,Stonevault,Last,both,Agi,33%,,,221090
,,,,,,,,
,Siege of Boralus,Last,m0,Agi,33%,,,159651
"Agi1hWeapon (Dh, m0)",5 available in m0,,m0,,30%,,,
,,,,,,,,
,,,,,,,,
Type,Dungeon,Boss,Week,stats,Dh,DhHavoc,DhVeng,ID
,City of Threads,2nd,both,"Dps,Agi",50%,,0%,219319
,Stonevault,3rd,both,"Dps,",50%,,0%,219301
,,,,,,,,
,Necrotic Wake,3rd,m0,"Dps,Int",50%,,0%,178772
,Siege of Boralus,3rd,m0,"Dps,Int",33%,,0%,159622
"DpsTrinket (Dh, m0)",4 available in m0,,m0,,32%,,0%,
,,,,,,,,
,Ara-Kara,2nd,both,"Tank,Agi,Str",33%,0%,,219316
,Stonevault,1st,both,"Tank,Agi,Str",50%,0%,,219315
,,,,,,,,
,Grim Batol,2nd,m0,"Tank,",33%,0%,,133291
"TankTrinket (Dh, m0)",3 available in m0,,m0,,21%,0%,,
,,,,,,,,
,,,,,,,,
Type,Dungeon,Boss,Week,stats,Dh,DhHavoc,DhVeng,ID
,Ara-Kara,1st,both,,50%,,,219314
,Ara-Kara,Last,both,"Agi,Int",33%,,,219317
,City of Threads,1st,both,,50%,,,219318
,Dawnbreaker,2nd,both,"Agi,Int",33%,,,219312
,Stonevault,Last,both,,33%,,,219303
,,,,,,,,
,Grim Batol,1st,m0,Agi,33%,,,133282
,Grim Batol,Last,m0,,25%,,,133305
,Mists of Tirna,2nd,m0,Agi,33%,,,178715
,Necrotic Wake,2nd,m0,Agi,50%,,,178742
,Siege of Boralus,2nd,m0,Agi,33%,,,159623
"AnyroleTrinket (Dh, m0)",10 available in m0,,m0,,54%,,,
