item_id,release,from,boss,gear_slot,gear_type,stats,EvokerDev
178707,M0,Mists of Tirna,2nd boss,Neck,,M>C,50%
0,M0,Neck (Evoker),4 sources,Neck,m0 week,,32%
221154,Hc+M0,Ara-Kara,2nd boss,Back,,V>C,50%
225574,Hc+M0,Dawnbreaker,Last boss,Back,,C>H,33%
221088,Hc+M0,Stonevault,3rd boss,Back,,M>H,33%
133292,M0,Grim Batol,3rd boss,Back,,V>C,33%
133363,M0,Grim Batol,3rd boss,Back,,M>C,33%
133309,M0,Grim Batol,Last boss,Back,,V>C,20%
0,M0,Back (Evoker),6 sources,Back,m0 week,,34%
221189,Hc+M0,City of Threads,Last boss,Finger,,,33%
221136,Hc+M0,Dawnbreaker,1st boss,Finger,,,50%
221141,Hc+M0,Dawnbreaker,2nd boss,Finger,,,25%
133286,M0,Grim Batol,1st boss,Finger,,M>C,33%
133287,M0,Grim Batol,2nd boss,Finger,,V>C,50%
133299,M0,Grim Batol,Last boss,Finger,,H>M,20%
178736,M0,Necrotic Wake,1st boss,Finger,,H>V,50%
178781,M0,Necrotic Wake,Last boss,Finger,,V>C,50%
162541,M0,Siege of Boralus,1st boss,Finger,,M>C,50%
159461,M0,Siege of Boralus,3rd boss,Finger,,C>H,33%
0,M0,Ring (Evoker),10 sources,Finger,m0 week,,56%
221165,Hc+M0,Ara-Kara,Last boss,One-Hand,Dagger,Int,33%
221171,Hc+M0,City of Threads,2nd boss,One-Hand,Dagger,Int,25%
133283,M0,Grim Batol,1st boss,One-Hand,Dagger,Int,33%
178709,M0,Mists of Tirna,1st boss,One-Hand,Mace,Int,25%
221150,Hc+M0,Ara-Kara,1st boss,One-Hand,Sword,Int,33%
178737,M0,Necrotic Wake,2nd boss,One-Hand,Sword,Int,50%
0,M0,Int1hWeapon (Evoker),6 sources,One-Hand,m0 week,,34%
221166,Hc+M0,City of Threads,1st boss,Two-Hand,Staff,Int,33%
221085,Hc+M0,Stonevault,3rd boss,Two-Hand,Staff,Int,33%
133303,M0,Grim Batol,Last boss,Two-Hand,Staff,Int,20%
178714,M0,Mists of Tirna,Last boss,Two-Hand,Staff,Int,50%
0,M0,Int2hWeapon (Evoker),4 sources,Two-Hand,m0 week,,25%
221172,Hc+M0,City of Threads,2nd boss,Held In Off-hand,,Int,25%
221132,Hc+M0,Dawnbreaker,1st boss,Held In Off-hand,,Int,50%
0,M0,Offhand (Evoker),2 sources,Held In Off-hand,m0 week,,15%
219314,Hc+M0,Ara-Kara,1st boss,Trinket,Anyrole Trinket,,33%
219317,Hc+M0,Ara-Kara,Last boss,Trinket,Anyrole Trinket,"Agi,Int",33%
219318,Hc+M0,City of Threads,1st boss,Trinket,Anyrole Trinket,,33%
219321,Hc+M0,City of Threads,Last boss,Trinket,Anyrole Trinket,Int,33%
219312,Hc+M0,Dawnbreaker,2nd boss,Trinket,Anyrole Trinket,"Agi,Int",25%
219303,Hc+M0,Stonevault,Last boss,Trinket,Anyrole Trinket,,100%
133305,M0,Grim Batol,Last boss,Trinket,Anyrole Trinket,,20%
178708,M0,Mists of Tirna,1st boss,Trinket,Anyrole Trinket,Int,25%
219319,Hc+M0,City of Threads,2nd boss,Trinket,Dps Trinket,Agi,25%
219301,Hc+M0,Stonevault,3rd boss,Trinket,Dps Trinket,,33%
178772,M0,Necrotic Wake,3rd boss,Trinket,Dps Trinket,Int,50%
159622,M0,Siege of Boralus,3rd boss,Trinket,Dps Trinket,Int,33%
0,M0,AnyroleTrinket (Evoker),8 sources,Trinket,m0 week,,47%
0,M0,DpsTrinket (Evoker),4 sources,Trinket,m0 week,,25%
0,M0,HealTrinket (Evoker),4 sources,Trinket,m0 week,,0%
