item_id,release,from,boss,gear_slot,gear_type,stats,MonkMw
221099,Hc,Darkflame Cleft,1st boss,Finger,,,50%
221200,Hc,Priory,Last boss,Finger,,,33%
221197,Hc,Rookery,Last boss,Finger,,,33%
221189,Hc+M0,City of Threads,Last boss,Finger,,,33%
221136,Hc+M0,Dawnbreaker,1st boss,Finger,,,33%
221141,Hc+M0,Dawnbreaker,2nd boss,Finger,,,33%
0,Hc,Ring (Monk),7 sources,Finger,1st/2nd week,,40%
0,Hc,Agi1hWeapon (Monk),5 sources,One-Hand,1st/2nd week,,0%
0,Hc,Int1hWeapon (Monk),3 sources,One-Hand,1st/2nd week,,20%
221105,Hc,Darkflame Cleft,3rd boss,One-Hand,Axe,Int,25%
221122,Hc,Priory,2nd boss,One-Hand,Mace,Int,50%
221150,Hc+M0,Ara-Kara,1st boss,One-Hand,Sword,Int,33%
0,Hc,Agi2hWeapon (Monk),5 sources,Two-Hand,1st/2nd week,,0%
0,Hc,Int2hWeapon (Monk),3 sources,Two-Hand,1st/2nd week,,21%
221032,Hc,Rookery,1st boss,Two-Hand,Staff,Int,50%
221166,Hc+M0,City of Threads,1st boss,Two-Hand,Staff,Int,33%
221085,Hc+M0,Stonevault,3rd boss,Two-Hand,Staff,Int,33%
221056,Hc,Cinderbrew,2nd boss,Held In Off-hand,,Int,33%
221097,Hc,Darkflame Cleft,1st boss,Held In Off-hand,,Int,50%
221172,Hc+M0,City of Threads,2nd boss,Held In Off-hand,,Int,50%
221132,Hc+M0,Dawnbreaker,1st boss,Held In Off-hand,,Int,33%
0,Hc,Offhand (Monk),4 sources,Held In Off-hand,1st/2nd week,,29%
0,Hc,AnyroleTrinket (Monk),12 sources,Trinket,1st/2nd week,,63%
0,Hc,DpsTrinket (Monk),5 sources,Trinket,1st/2nd week,,0%
0,Hc,HealTrinket (Monk),4 sources,Trinket,1st/2nd week,,23%
0,Hc,TankTrinket (Monk),4 sources,Trinket,1st/2nd week,,0%
219299,Hc,Cinderbrew,Last boss,Trinket,Anyrole Trinket,Int,33%
219305,Hc,Darkflame Cleft,2nd boss,Trinket,Anyrole Trinket,Int,33%
219307,Hc,Darkflame Cleft,Last boss,Trinket,Anyrole Trinket,,50%
219308,Hc,Priory,1st boss,Trinket,Anyrole Trinket,All3,50%
219295,Hc,Rookery,2nd boss,Trinket,Anyrole Trinket,All3,50%
219296,Hc,Rookery,Last boss,Trinket,Anyrole Trinket,,33%
219314,Hc+M0,Ara-Kara,1st boss,Trinket,Anyrole Trinket,,33%
219317,Hc+M0,Ara-Kara,Last boss,Trinket,Anyrole Trinket,"Agi,Int",50%
219318,Hc+M0,City of Threads,1st boss,Trinket,Anyrole Trinket,,33%
219321,Hc+M0,City of Threads,Last boss,Trinket,Anyrole Trinket,Int,33%
219312,Hc+M0,Dawnbreaker,2nd boss,Trinket,Anyrole Trinket,"Agi,Int",33%
219303,Hc+M0,Stonevault,Last boss,Trinket,Anyrole Trinket,,50%
219306,Hc,Darkflame Cleft,3rd boss,Trinket,Heal Trinket,Int,25%
219310,Hc,Priory,Last boss,Trinket,Heal Trinket,Int,33%
219320,Hc+M0,City of Threads,3rd boss,Trinket,Heal Trinket,Int,33%
219302,Hc+M0,Stonevault,3rd boss,Trinket,Heal Trinket,Int,33%
