Type,Dungeon,Boss,Week,stats,Dk,DkBlood,DkFrost,DkUnholy,DhHavoc,DhVeng,DruidBoomie,DruidCat,DruidBear,DruidResto,EvokerDev,EvokerPres,EvokerAug,HunterBm,HunterMm,HunterSv,MageArcane,MageFire,MageFrost,MonkBrew,MonkMw,MonkWw,PaladinHoly,PaladinProt,PaladinRet,PriestDisc,PriestHoly,PriestShadow,RogueSin,RogueOutlaw,RogueSub,ShamanEle,ShamanEnh,ShamanResto,WarlockAff,WarlockDemo,WarlockDest,WarriorArms,WarriorFury,WarriorProt,ID
"Shoulders (Druid, Hc)",3 available in Hc,,Hc,,,,,,,,20%,27%,,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shoulders (Evoker, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,16%,,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shoulders (Hunter, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,16%,,,,,,,,,,,,,,,,,,,,,,,,,
"Shoulders (Mage, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shoulders (Monk, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,35%,24%,,,,,,,,,,,,,,,,,,,
"Shoulders (Priest, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shoulders (Rogue, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24%,,,,,,,,,,,
"Shoulders (Shaman, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16%,,,,,,,,,
"Shoulders (Warlock, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shoulders (Dk, Hc)",4 available in Hc,,Hc,,29%,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shoulders (Paladin, Hc)",4 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shoulders (Warrior, Hc)",4 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cinderbrew,Last,Hc,C>M,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221072
,Darkflame Cleft,Last,Hc,V>M,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221115
,Dawnbreaker,1st,both,V>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221135
,Cinderbrew,3rd,Hc,H>V,0%,,,,50%,,33%,50%,,50%,,,,,,,,,,,,50%,,,,,,,,,,,,,,,,,,,221201
,City of Threads,2nd,both,V>C,0%,,,,50%,,25%,50%,,33%,,,,,,,,,,,50%,50%,,,,,,,,,,,,,,,,,,,221175
,Stonevault,Last,both,C>V,0%,,,,,,,,,,,,,,,,,,,33%,,33%,,,,,,,,33%,,,,,,,,,,,221094
,Darkflame Cleft,1st,Hc,V>H,0%,,,,,,,,,,25%,,25%,,,,,,,,,,,,,,,,,,,25%,,,,,,,,,221098
,Rookery,Last,Hc,M>V,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221048
,Dawnbreaker,2nd,both,M>V,0%,,,,,,,,,,,,,,,20%,,,,,,,,,,,,,,,,,,,,,,,,,221140
,Cinderbrew,1st,Hc,V>M,50%,33%,,,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,,,,33%,221052
,Priory,Last,Hc,C>V,33%,,,,,,,,,,,,,,,,,,,,,,33%,,33%,,,,,,,,,,,,,33%,33%,,221203
,Ara-Kara,2nd,both,V>M,50%,33%,,,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,,,,33%,221155
,City of Threads,Last,both,C>H,33%,,,,,,,,,,,,,,,,,,,,,,33%,,33%,,,,,,,,,,,,,33%,33%,,221185
"Chest (Evoker, Hc)",2 available in Hc,,Hc,,,,,,,,,,,,,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chest (Hunter, Hc)",2 available in Hc,,Hc,,,,,,,,,,,,,,,16%,16%,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chest (Shaman, Hc)",2 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13%,,11%,,,,,,,
"Chest (Dh, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chest (Dk, Hc)",3 available in Hc,,Hc,,35%,,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chest (Druid, Hc)",3 available in Hc,,Hc,,,,,,,,21%,,,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chest (Mage, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chest (Monk, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,19%,,,,,,,,,,,,,,,,,,,,
"Chest (Paladin, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,21%,33%,,,,,,,,,,,,,,,,,
"Chest (Priest, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23%,,,,,,,,,,,,,
"Chest (Rogue, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,,20%,,,,,,,,,,
"Chest (Warlock, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chest (Warrior, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33%,33%,
,Priory,2nd,Hc,V>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221126
,City of Threads,2nd,both,C>H,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,25%,,,,,,,,,,,,,221176
,Stonevault,Last,both,V>H,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221095
,Priory,Last,Hc,V>H,0%,,,,,,,,,33%,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,,,,221130
,Rookery,Last,Hc,M>V,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,25%,,25%,,,,,,,,,,221049
,City of Threads,Last,both,H>M,0%,,,,,,33%,,,33%,,,,,,,,,,,33%,,,,,,,,33%,,33%,,,,,,,,,,221188
,Rookery,2nd,Hc,C>M,0%,,,,,,,,,,,,,33%,33%,,,,,,,,,,,,,,,,,33%,,33%,,,,,,,221041
,City of Threads,3rd,both,M>V,0%,,,,,,,,,,,33%,,,,,,,,,,,,,,,,,,,,33%,,25%,,,,,,,221179
,Cinderbrew,Last,Hc,H>C,50%,,33%,,,,,,,,,,,,,,,,,,,,33%,33%,,,,,,,,,,,,,,,33%,33%,221069
,Ara-Kara,Last,both,V>H,100%,,,,,,,,,,,,,,,,,,,,,,50%,,,,,,,,,,,,,,,,,,221161
,Dawnbreaker,2nd,both,C>V,50%,,,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,,,,,,221139
"Wrists (Dh, Hc)",3 available in Hc,,Hc,,,,,,,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wrists (Druid, Hc)",3 available in Hc,,Hc,,,,,,,,,23%,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wrists (Evoker, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,20%,,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wrists (Hunter, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,,,,,,,,,,,,,
"Wrists (Mage, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wrists (Monk, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,16%,,20%,,,,,,,,,,,,,,,,,,,
"Wrists (Priest, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wrists (Rogue, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21%,,,,,,,,,,,
"Wrists (Shaman, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,,21%,,,,,,,
"Wrists (Warlock, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wrists (Dk, Hc)",4 available in Hc,,Hc,,31%,,28%,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wrists (Paladin, Hc)",4 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,36%,28%,,,,,,,,,,,,,,,,
"Wrists (Warrior, Hc)",4 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28%,28%,,
,Darkflame Cleft,2nd,Hc,M>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221104
,Rookery,1st,Hc,C>V,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,221037
,City of Threads,3rd,both,H>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,33%,33%,,,,,,,,,,,,,,221182
,Cinderbrew,1st,Hc,M>H,0%,,,,,33%,,,33%,,,,,,,,,,,25%,,33%,,,,,,,,33%,,,,,,,,,,,221053
,Ara-Kara,2nd,both,C>M,0%,,,,,33%,,,33%,,,,,,,,,,,33%,,,,,,,,,,,,,,,,,,,,,221157
,Dawnbreaker,2nd,both,H>C,0%,,,,,,,25%,25%,,,,,,,,,,,25%,,25%,,,,,,,25%,,25%,,,,,,,,,,221142
,Cinderbrew,2nd,Hc,C>V,0%,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,,,,33%,,33%,,,,,,,221059
,Priory,2nd,Hc,M>H,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50%,,50%,,,,,,,221124
,City of Threads,2nd,both,C>M,0%,,,,,,,,,,25%,,25%,,,,,,,,,,,,,,,,,,,25%,,33%,,,,,,,221174
,Cinderbrew,3rd,Hc,C>H,50%,,33%,33%,,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,33%,33%,,221064
,Priory,1st,Hc,C>H,50%,,,,,,,,,,,,,,,,,,,,,,33%,33%,,,,,,,,,,,,,,,,33%,221118
,City of Threads,1st,both,H>V,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221167
,Dawnbreaker,Last,both,C>H,25%,,,,,,,,,,,,,,,,,,,,,,,25%,25%,,,,,,,,,,,,,,,,212437
"Hands (Dh, Hc)",3 available in Hc,,Hc,,,,,,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hands (Dk, Hc)",3 available in Hc,,Hc,,24%,,21%,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hands (Druid, Hc)",3 available in Hc,,Hc,,,,,,,,21%,27%,,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hands (Evoker, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hands (Hunter, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,30%,,,,,,,,,,,,,,,,,,,,,,,,,
"Hands (Mage, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hands (Monk, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,21%,24%,,,,,,,,,,,,,,,,,,,
"Hands (Paladin, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,21%,,21%,,,,,,,,,,,,,,,,
"Hands (Priest, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hands (Rogue, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24%,,,,,,,,,,,
"Hands (Shaman, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21%,,21%,,,,,,,
"Hands (Warlock, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hands (Warrior, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21%,21%,,
,Cinderbrew,3rd,Hc,H>M,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,221067
,Darkflame Cleft,3rd,Hc,C>H,0%,,,,,,,,,,,,,,,,,,,,,,,,,33%,33%,,,,,,,,,,,,,,221108
,City of Threads,1st,both,C>V,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221170
,Darkflame Cleft,2nd,Hc,H>M,0%,,,,,,33%,,,33%,,,,,,,,,,,33%,,,,,,,,,,,,,,,,,,,,221102
,Rookery,1st,Hc,M>C,0%,,,,33%,,33%,50%,,50%,,,,,,,,,,,,33%,,,,,,,,33%,,,,,,,,,,,221036
,City of Threads,3rd,both,H>C,0%,,,,,,,,,33%,,,,,,,,,,,33%,,,,,,,,,,,,,,,,,,,,221180
,Priory,1st,Hc,H>V,0%,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,,,,33%,,33%,,,,,,,221119
,Ara-Kara,Last,both,V>H,0%,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,,,,33%,,33%,,,,,,,221162
,Stonevault,2nd,both,V>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50%,,50%,,,,,,,221080
,Darkflame Cleft,Last,Hc,V>H,33%,,,,,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,33%,33%,,221112
,Ara-Kara,1st,both,H>V,50%,,,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,,,,,,221151
,Stonevault,3rd,both,H>C,50%,,33%,33%,,,,,,,,,,,,,,,,,,,33%,,33%,,,,,,,,,,,,,33%,33%,,221086
"Waist (Dk, Hc)",3 available in Hc,,Hc,,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Waist (Evoker, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Waist (Hunter, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Waist (Mage, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Waist (Paladin, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Waist (Priest, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Waist (Shaman, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19%,,19%,,,,,,,
"Waist (Warlock, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Waist (Warrior, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Waist (Dh, Hc)",4 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Waist (Druid, Hc)",4 available in Hc,,Hc,,,,,,,,27%,,,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Waist (Monk, Hc)",4 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,23%,,,,,,,,,,,,,,,,,,,,
"Waist (Rogue, Hc)",4 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31%,,,,,,,,,,,
,Priory,1st,Hc,M>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221121
,Ara-Kara,2nd,both,C>H,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221158
,Stonevault,3rd,both,V>M,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221087
,Cinderbrew,2nd,Hc,V>H,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221058
,Darkflame Cleft,3rd,Hc,C>M,0%,,,,,,,,,33%,,,,,,,,,,,25%,,,,,,,,,,,,,,,,,,,,221107
,Dawnbreaker,1st,both,C>M,0%,,,,,,33%,,,33%,,,,,,,,,,,33%,,,,,,,,,,,,,,,,,,,,221134
,Dawnbreaker,Last,both,H>C,0%,,,,,,,,,,,,,,,,,,,25%,,25%,,,,,,,,25%,,,,,,,,,,,225583
,Darkflame Cleft,2nd,Hc,H>V,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33%,,33%,,,,,,,221101
,City of Threads,1st,both,H>M,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33%,,33%,,,,,,,221168
,Stonevault,1st,both,H>M,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33%,,33%,,,,,,,221075
,Rookery,2nd,Hc,M>H,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221040
,Dawnbreaker,1st,both,M>H,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221133
,Stonevault,2nd,both,C>M,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221079
"Legs (Dh, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Legs (Dk, Hc)",3 available in Hc,,Hc,,42%,,24%,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Legs (Druid, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Legs (Evoker, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Legs (Hunter, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Legs (Mage, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Legs (Monk, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,24%,,,,,,,,,,,,,,,,,,,,
"Legs (Paladin, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,35%,,27%,,,,,,,,,,,,,,,,
"Legs (Priest, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Legs (Rogue, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24%,,24%,,,,,,,,,,
"Legs (Shaman, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21%,,21%,,,,,,,
"Legs (Warlock, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Legs (Warrior, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27%,24%,,
,Rookery,Last,Hc,H>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221050
,Ara-Kara,Last,both,H>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221164
,Stonevault,1st,both,M>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221076
,Darkflame Cleft,Last,Hc,H>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,33%,,33%,,,,,,,,,,221114
,Rookery,2nd,Hc,V>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221042
,Ara-Kara,1st,both,M>C,0%,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,,,,,,,,221153
,Cinderbrew,3rd,Hc,C>H,0%,,,,,,,,,,33%,,33%,,,,,,,,,,,,,,,,,,,33%,,,,,,,,,221065
,Priory,Last,Hc,C>V,0%,,,,,,,,,,,33%,,,,,,,,,,,,,,,,,,,,,33%,33%,,,,,,,221129
,City of Threads,Last,both,H>V,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33%,,33%,,,,,,,221186
,Rookery,1st,Hc,H>V,100%,,50%,50%,,,,,,,,,,,,,,,,,,,,,50%,,,,,,,,,,,,,50%,50%,,221034
,City of Threads,2nd,both,M>H,100%,,50%,50%,,,,,,,,,,,,,,,,,,,50%,,50%,,,,,,,,,,,,,50%,50%,,221173
,Stonevault,Last,both,M>C,50%,,33%,,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,,,33%,33%,221092
"Feet (Mage, Hc)",2 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feet (Priest, Hc)",2 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feet (Warlock, Hc)",2 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feet (Dh, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feet (Dk, Hc)",3 available in Hc,,Hc,,35%,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feet (Druid, Hc)",3 available in Hc,,Hc,,,,,,,,21%,,,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feet (Monk, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,21%,,,,,,,,,,,,,,,,,,,,
"Feet (Paladin, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,20%,24%,,,,,,,,,,,,,,,,,
"Feet (Rogue, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feet (Warrior, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24%,
"Feet (Evoker, Hc)",5 available in Hc,,Hc,,,,,,,,,,,,28%,,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feet (Hunter, Hc)",5 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feet (Shaman, Hc)",5 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30%,,,,,,,,,
,Rookery,2nd,Hc,C>H,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221043
