item_id,release,from,boss,gear_slot,gear_type,stats,MonkWw
221114,Hc,Darkflame Cleft,Last boss,Legs,Leather,H>C,50%
221042,Hc,Rookery,2nd boss,Legs,Leather,V>C,50%
221153,Hc+M0,Ara-Kara,1st boss,Legs,Leather,M>C,50%
0,Hc,Feet (Monk),3 sources,Feet,1st/2nd week,,24%
221071,Hc,Cinderbrew,Last boss,Feet,Leather,M>H,50%
221120,Hc,Priory,1st boss,Feet,Leather,H>M,33%
221169,Hc+M0,City of Threads,1st boss,Feet,Leather,M>C,50%
221060,Hc,Cinderbrew,2nd boss,Neck,,,33%
221103,Hc,Darkflame Cleft,2nd boss,Neck,,,50%
221181,Hc+M0,City of Threads,3rd boss,Neck,,,50%
212448,Hc+M0,Dawnbreaker,Last boss,Neck,,,25%
221077,Hc+M0,Stonevault,1st boss,Neck,,,50%
0,Hc,Neck (Monk),5 sources,Neck,1st/2nd week,,35%
221054,Hc,Cinderbrew,1st boss,Back,,C>M,33%
221109,Hc,Darkflame Cleft,3rd boss,Back,,V>C,50%
221154,Hc+M0,Ara-Kara,2nd boss,Back,,V>C,50%
225574,Hc+M0,Dawnbreaker,Last boss,Back,,C>H,25%
221088,Hc+M0,Stonevault,3rd boss,Back,,M>H,50%
0,Hc,Back (Monk),5 sources,Back,1st/2nd week,,35%
221198,Hc,Cinderbrew,Last boss,Finger,,,50%
221099,Hc,Darkflame Cleft,1st boss,Finger,,,50%
221200,Hc,Priory,Last boss,Finger,,,33%
221197,Hc,Rookery,Last boss,Finger,,,33%
221189,Hc+M0,City of Threads,Last boss,Finger,,,50%
221136,Hc+M0,Dawnbreaker,1st boss,Finger,,,50%
221141,Hc+M0,Dawnbreaker,2nd boss,Finger,,,25%
0,Hc,Ring (Monk),7 sources,Finger,1st/2nd week,,46%
0,Hc,Agi1hWeapon (Monk),5 sources,One-Hand,1st/2nd week,,28%
0,Hc,Int1hWeapon (Monk),3 sources,One-Hand,1st/2nd week,,0%
221033,Hc,Rookery,1st boss,One-Hand,Axe,Agi,33%
221090,Hc+M0,Stonevault,Last boss,One-Hand,Fist Weapon,Agi,33%
221051,Hc,Cinderbrew,1st boss,One-Hand,Mace,Agi,33%
221128,Hc,Priory,Last boss,One-Hand,Mace,Agi,33%
212398,Hc+M0,Dawnbreaker,Last boss,One-Hand,Mace,Agi,25%
0,Hc,Agi2hWeapon (Monk),5 sources,Two-Hand,1st/2nd week,,30%
0,Hc,Int2hWeapon (Monk),3 sources,Two-Hand,1st/2nd week,,0%
221116,Hc,Priory,1st boss,Two-Hand,Polearm,Agi,33%
221137,Hc+M0,Dawnbreaker,2nd boss,Two-Hand,Polearm,Agi,25%
221078,Hc+M0,Stonevault,1st boss,Two-Hand,Polearm,Agi,50%
221057,Hc,Cinderbrew,2nd boss,Two-Hand,Staff,Agi,33%
221159,Hc+M0,Ara-Kara,Last boss,Two-Hand,Staff,Agi,33%
0,Hc,Offhand (Monk),4 sources,Held In Off-hand,1st/2nd week,,0%
0,Hc,AnyroleTrinket (Monk),12 sources,Trinket,1st/2nd week,,53%
0,Hc,DpsTrinket (Monk),5 sources,Trinket,1st/2nd week,,39%
0,Hc,HealTrinket (Monk),4 sources,Trinket,1st/2nd week,,0%
0,Hc,TankTrinket (Monk),4 sources,Trinket,1st/2nd week,,0%
219307,Hc,Darkflame Cleft,Last boss,Trinket,Anyrole Trinket,,50%
219308,Hc,Priory,1st boss,Trinket,Anyrole Trinket,All3,33%
219295,Hc,Rookery,2nd boss,Trinket,Anyrole Trinket,All3,50%
219296,Hc,Rookery,Last boss,Trinket,Anyrole Trinket,,33%
219314,Hc+M0,Ara-Kara,1st boss,Trinket,Anyrole Trinket,,50%
219317,Hc+M0,Ara-Kara,Last boss,Trinket,Anyrole Trinket,"Agi,Int",33%
219318,Hc+M0,City of Threads,1st boss,Trinket,Anyrole Trinket,,50%
219312,Hc+M0,Dawnbreaker,2nd boss,Trinket,Anyrole Trinket,"Agi,Int",25%
219303,Hc+M0,Stonevault,Last boss,Trinket,Anyrole Trinket,,33%
219298,Hc,Cinderbrew,3rd boss,Trinket,Dps Trinket,"Agi,Str",50%
219304,Hc,Darkflame Cleft,1st boss,Trinket,Dps Trinket,Agi,50%
219294,Hc,Rookery,1st boss,Trinket,Dps Trinket,Agi,33%
219319,Hc+M0,City of Threads,2nd boss,Trinket,Dps Trinket,Agi,50%
219301,Hc+M0,Stonevault,3rd boss,Trinket,Dps Trinket,,50%
