item_id,release,from,boss,gear_slot,gear_type,stats,EvokerPres
221166,Hc+M0,City of Threads,1st boss,Two-Hand,Staff,Int,33%
221085,Hc+M0,Stonevault,3rd boss,Two-Hand,Staff,Int,33%
221056,Hc,Cinderbrew,2nd boss,Held In Off-hand,,Int,33%
221097,Hc,Darkflame Cleft,1st boss,Held In Off-hand,,Int,33%
221172,Hc+M0,City of Threads,2nd boss,Held In Off-hand,,Int,33%
221132,Hc+M0,Dawnbreaker,1st boss,Held In Off-hand,,Int,50%
0,Hc,Offhand (Evoker),4 sources,Held In Off-hand,1st/2nd week,,27%
0,Hc,AnyroleTrinket (Evoker),12 sources,Trinket,1st/2nd week,,66%
0,Hc,DpsTrinket (Evoker),5 sources,Trinket,1st/2nd week,,0%
0,Hc,HealTrinket (Evoker),4 sources,Trinket,1st/2nd week,,23%
219299,Hc,Cinderbrew,Last boss,Trinket,Anyrole Trinket,Int,33%
219305,Hc,Darkflame Cleft,2nd boss,Trinket,Anyrole Trinket,Int,33%
219307,Hc,Darkflame Cleft,Last boss,Trinket,Anyrole Trinket,,50%
219308,Hc,Priory,1st boss,Trinket,Anyrole Trinket,All3,50%
219295,Hc,Rookery,2nd boss,Trinket,Anyrole Trinket,All3,50%
219296,Hc,Rookery,Last boss,Trinket,Anyrole Trinket,,33%
219314,Hc+M0,Ara-Kara,1st boss,Trinket,Anyrole Trinket,,33%
219317,Hc+M0,Ara-Kara,Last boss,Trinket,Anyrole Trinket,"Agi,Int",33%
219318,Hc+M0,City of Threads,1st boss,Trinket,Anyrole Trinket,,33%
219321,Hc+M0,City of Threads,Last boss,Trinket,Anyrole Trinket,Int,33%
219312,Hc+M0,Dawnbreaker,2nd boss,Trinket,Anyrole Trinket,"Agi,Int",25%
219303,Hc+M0,Stonevault,Last boss,Trinket,Anyrole Trinket,,100%
219306,Hc,Darkflame Cleft,3rd boss,Trinket,Heal Trinket,Int,25%
219310,Hc,Priory,Last boss,Trinket,Heal Trinket,Int,33%
219320,Hc+M0,City of Threads,3rd boss,Trinket,Heal Trinket,Int,33%
219302,Hc+M0,Stonevault,3rd boss,Trinket,Heal Trinket,Int,33%
