item_id,release,from,boss,gear_slot,gear_type,stats,MageFrost
221200,Hc,Priory,Last boss,Finger,,,50%
221197,Hc,Rookery,Last boss,Finger,,,33%
221189,Hc+M0,City of Threads,Last boss,Finger,,,33%
221136,Hc+M0,Dawnbreaker,1st boss,Finger,,,33%
221141,Hc+M0,Dawnbreaker,2nd boss,Finger,,,50%
0,Hc,Ring (Mage),7 sources,Finger,1st/2nd week,,42%
0,Hc,Int1hWeapon (Mage),4 sources,One-Hand,1st/2nd week,,25%
221062,Hc,Cinderbrew,3rd boss,One-Hand,Dagger,Int,33%
221165,Hc+M0,Ara-Kara,Last boss,One-Hand,Dagger,Int,33%
221171,Hc+M0,City of Threads,2nd boss,One-Hand,Dagger,Int,25%
221150,Hc+M0,Ara-Kara,1st boss,One-Hand,Sword,Int,50%
0,Hc,Int2hWeapon (Mage),3 sources,Two-Hand,1st/2nd week,,17%
221032,Hc,Rookery,1st boss,Two-Hand,Staff,Int,33%
221166,Hc+M0,City of Threads,1st boss,Two-Hand,Staff,Int,33%
221085,Hc+M0,Stonevault,3rd boss,Two-Hand,Staff,Int,25%
221056,Hc,Cinderbrew,2nd boss,Held In Off-hand,,Int,33%
221097,Hc,Darkflame Cleft,1st boss,Held In Off-hand,,Int,33%
221172,Hc+M0,City of Threads,2nd boss,Held In Off-hand,,Int,25%
221132,Hc+M0,Dawnbreaker,1st boss,Held In Off-hand,,Int,33%
0,Hc,Offhand (Mage),4 sources,Held In Off-hand,1st/2nd week,,23%
0,Hc,AnyroleTrinket (Mage),12 sources,Trinket,1st/2nd week,,65%
0,Hc,DpsTrinket (Mage),5 sources,Trinket,1st/2nd week,,26%
219299,Hc,Cinderbrew,Last boss,Trinket,Anyrole Trinket,Int,33%
219305,Hc,Darkflame Cleft,2nd boss,Trinket,Anyrole Trinket,Int,33%
219307,Hc,Darkflame Cleft,Last boss,Trinket,Anyrole Trinket,,50%
219308,Hc,Priory,1st boss,Trinket,Anyrole Trinket,All3,50%
219295,Hc,Rookery,2nd boss,Trinket,Anyrole Trinket,All3,50%
219296,Hc,Rookery,Last boss,Trinket,Anyrole Trinket,,33%
219314,Hc+M0,Ara-Kara,1st boss,Trinket,Anyrole Trinket,,50%
219317,Hc+M0,Ara-Kara,Last boss,Trinket,Anyrole Trinket,"Agi,Int",33%
219318,Hc+M0,City of Threads,1st boss,Trinket,Anyrole Trinket,,33%
219321,Hc+M0,City of Threads,Last boss,Trinket,Anyrole Trinket,Int,33%
219312,Hc+M0,Dawnbreaker,2nd boss,Trinket,Anyrole Trinket,"Agi,Int",50%
219303,Hc+M0,Stonevault,Last boss,Trinket,Anyrole Trinket,,50%
219298,Hc,Cinderbrew,3rd boss,Trinket,Dps Trinket,"Agi,Str",33%
219304,Hc,Darkflame Cleft,1st boss,Trinket,Dps Trinket,Agi,33%
219294,Hc,Rookery,1st boss,Trinket,Dps Trinket,Agi,33%
219319,Hc+M0,City of Threads,2nd boss,Trinket,Dps Trinket,Agi,25%
219301,Hc+M0,Stonevault,3rd boss,Trinket,Dps Trinket,,25%
