item_id,release,from,boss,gear_slot,gear_type,stats,DkBlood
221136,Hc+M0,Dawnbreaker,1st boss,Finger,,,33%
221141,Hc+M0,Dawnbreaker,2nd boss,Finger,,,50%
0,Hc,Ring (Dk),7 sources,Finger,1st/2nd week,,51%
0,Hc,Str1hWeapon (Dk),4 sources,One-Hand,1st/2nd week,,0%
0,Hc,Str2hWeapon (Dk),5 sources,Two-Hand,1st/2nd week,,32%
221063,Hc,Cinderbrew,3rd boss,Two-Hand,Mace,Str,50%
221038,Hc,Rookery,2nd boss,Two-Hand,Mace,Str,33%
221111,Hc,Darkflame Cleft,Last boss,Two-Hand,Polearm,Str,33%
221184,Hc+M0,City of Threads,Last boss,Two-Hand,Polearm,Str,33%
221127,Hc,Priory,Last boss,Two-Hand,Sword,Str,33%
0,Hc,AnyroleTrinket (Dk),10 sources,Trinket,1st/2nd week,,57%
0,Hc,DpsTrinket (Dk),5 sources,Trinket,1st/2nd week,,0%
0,Hc,TankTrinket (Dk),4 sources,Trinket,1st/2nd week,,29%
219307,Hc,Darkflame Cleft,Last boss,Trinket,Anyrole Trinket,,33%
219308,Hc,Priory,1st boss,Trinket,Anyrole Trinket,All3,50%
219295,Hc,Rookery,2nd boss,Trinket,Anyrole Trinket,All3,33%
219296,Hc,Rookery,Last boss,Trinket,Anyrole Trinket,,33%
219314,Hc+M0,Ara-Kara,1st boss,Trinket,Anyrole Trinket,,50%
219318,Hc+M0,City of Threads,1st boss,Trinket,Anyrole Trinket,,50%
219311,Hc+M0,Dawnbreaker,1st boss,Trinket,Anyrole Trinket,Str,33%
212453,Hc+M0,Dawnbreaker,Last boss,Trinket,Anyrole Trinket,Str,25%
219300,Hc+M0,Stonevault,2nd boss,Trinket,Anyrole Trinket,Str,50%
219303,Hc+M0,Stonevault,Last boss,Trinket,Anyrole Trinket,,50%
219297,Hc,Cinderbrew,1st boss,Trinket,Tank Trinket,,33%
219309,Hc,Priory,2nd boss,Trinket,Tank Trinket,,50%
219316,Hc+M0,Ara-Kara,2nd boss,Trinket,Tank Trinket,"Agi,Str",33%
219315,Hc+M0,Stonevault,1st boss,Trinket,Tank Trinket,"Agi,Str",50%
