,Ara-Kara,Last,both,"Agi,Int",33%,,,219317
,City of Threads,1st,both,,50%,,,219318
,Dawnbreaker,2nd,both,"Agi,Int",33%,,,219312
,Stonevault,Last,both,,33%,,,219303
,,,,,,,,
,Grim Batol,1st,m0,Agi,33%,,,133282
,Grim Batol,Last,m0,,25%,,,133305
,Mists of Tirna,2nd,m0,Agi,33%,,,178715
,Necrotic Wake,2nd,m0,Agi,50%,,,178742
,Siege of Boralus,2nd,m0,Agi,33%,,,159623
"AnyroleTrinket (Dh, m0)",10 available in m0,,m0,,54%,,,
