"Legs (Druid, m0)",3 available in m0,,m0,,24%,21%,21%,,,
,,,,,,,,,,
,,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Druid,DruidBoomie,DruidCat,DruidBear,DruidResto,ID
"Feet (Druid, Hc)",3 available in Hc,,Hc,,24%,21%,,,21%,
,Cinderbrew,Last,Hc,M>H,50%,33%,,,33%,221071
,Priory,1st,Hc,H>M,50%,,33%,33%,,221120
,,,,,,,,,,
,City of Threads,1st,both,M>C,50%,33%,,,33%,221169
,,,,,,,,,,
,Necrotic Wake,1st,m0,V>C,50%,,,,,178731
,Siege of Boralus,2nd,m0,V>C,50%,,33%,33%,,159320
"Feet (Druid, m0)",3 available in m0,,m0,,24%,,,,,
,,,,,,,,,,
,,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Druid,DruidBoomie,DruidCat,DruidBear,DruidResto,ID
"Neck (Druid, Hc)",5 available in Hc,,Hc,,41%,,36%,34%,39%,
,Cinderbrew,2nd,Hc,H>M,33%,,,,,221060
,Darkflame Cleft,2nd,Hc,C>V,50%,33%,,,33%,221103
,,,,,,,,,,
,City of Threads,3rd,both,V>C,50%,,,,33%,221181
,Dawnbreaker,Last,both,C>H,33%,,,,,212448
,Stonevault,1st,both,M>H,100%,,50%,33%,,221077
,,,,,,,,,,
,Mists of Tirna,2nd,m0,M>C,50%,,33%,33%,,178707
"Neck (Druid, m0)",4 available in m0,,m0,,39%,,29%,27%,37%,
,,,,,,,,,,
,,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Druid,DruidBoomie,DruidCat,DruidBear,DruidResto,ID
"Back (Druid, Hc)",5 available in Hc,,Hc,,41%,36%,39%,,34%,
,Cinderbrew,1st,Hc,C>M,50%,,,33%,,221054
,Darkflame Cleft,3rd,Hc,V>C,50%,,,,33%,221109
,,,,,,,,,,
,Ara-Kara,2nd,both,V>C,50%,,,33%,,221154
,Dawnbreaker,Last,both,C>H,33%,,,,,225574
,Stonevault,3rd,both,M>H,100%,33%,50%,,33%,221088
,,,,,,,,,,
,Grim Batol,3rd,m0,V>C,33%,,,,,133292
,Grim Batol,3rd,m0,M>C,33%,,,,,133363
,Grim Batol,Last,m0,V>C,25%,20%,,,20%,133309
"Back (Druid, m0)",6 available in m0,,m0,,42%,34%,37%,,34%,
,,,,,,,,,,
,,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Druid,DruidBoomie,DruidCat,DruidBear,DruidResto,ID
"Ring (Druid, Hc)",7 available in Hc,,Hc,,53%,40%,48%,,40%,
,Cinderbrew,Last,Hc,M>C,50%,33%,,,33%,221198
,Darkflame Cleft,1st,Hc,H>V,100%,33%,50%,,50%,221099
,Priory,Last,Hc,M>V,50%,,,,33%,221200
,Rookery,Last,Hc,C>M,33%,,,,,221197
,,,,,,,,,,
,City of Threads,Last,both,V>H,50%,33%,,,33%,221189
,Dawnbreaker,1st,both,C>H,50%,33%,,,33%,221136
,Dawnbreaker,2nd,both,V>M,33%,,25%,25%,,221141
,,,,,,,,,,
,Grim Batol,1st,m0,M>C,33%,,,,,133286
,Grim Batol,2nd,m0,V>C,50%,,,33%,33%,133287
,Grim Batol,Last,m0,H>M,25%,20%,,,20%,133299
,Necrotic Wake,1st,m0,H>V,50%,,,,,178736
,Necrotic Wake,Last,m0,V>C,50%,,,,33%,178781
,Siege of Boralus,1st,m0,M>C,50%,,,,,162541
,Siege of Boralus,3rd,m0,C>H,50%,33%,33%,,,159461
"Ring (Druid, m0)",10 available in m0,,m0,,58%,55%,,,54%,
,,,,,,,,,,
,,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Druid,DruidBoomie,DruidCat,DruidBear,DruidResto,ID
"Int1hWeapon (Druid, Hc)",4 available in Hc,,Hc,,29%,25%,0%,0%,,
,Cinderbrew,3rd,Hc,Int,50%,33%,0%,0%,,221062
,Priory,2nd,Hc,Int,50%,,0%,0%,,221122
,,,,,,,,,,
,Ara-Kara,Last,both,Int,33%,,0%,0%,,221165
,City of Threads,2nd,both,Int,33%,25%,0%,0%,,221171
,,,,,,,,,,
,Grim Batol,1st,m0,Int,33%,,0%,0%,,133283
,Mists of Tirna,1st,m0,Int,33%,,0%,0%,,178709
"Int1hWeapon (Druid, m0)",4 available in m0,,m0,,24%,23%,0%,0%,,
,,,,,,,,,,
,,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Druid,DruidBoomie,DruidCat,DruidBear,DruidResto,ID
"Agi2hWeapon (Druid, Hc)",5 available in Hc,,Hc,,30%,0%,,28%,0%,
,Cinderbrew,2nd,Hc,Agi,33%,0%,,,0%,221057
,Priory,1st,Hc,Agi,33%,0%,,,0%,221116
,,,,,,,,,,
,Ara-Kara,Last,both,Agi,33%,0%,,,0%,221159
,Dawnbreaker,2nd,both,Agi,25%,0%,,,0%,221137
,Stonevault,1st,both,Agi,50%,0%,,33%,0%,221078
,,,,,,,,,,
"Agi2hWeapon (Druid, m0)",3 available in m0,,m0,,20%,0%,,17%,0%,
,,,,,,,,,,
,,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Druid,DruidBoomie,DruidCat,DruidBear,DruidResto,ID
"Int2hWeapon (Druid, Hc)",4 available in Hc,,Hc,,29%,27%,0%,0%,,
,Rookery,1st,Hc,Int,50%,33%,0%,0%,,221032
,,,,,,,,,,
,City of Threads,1st,both,Int,33%,,0%,0%,,221166
,Stonevault,2nd,both,Int,50%,,0%,0%,,221083
,Stonevault,3rd,both,Int,33%,,0%,0%,,221085
,,,,,,,,,,
,Grim Batol,Last,m0,Int,20%,,0%,0%,,133303
,Mists of Tirna,Last,m0,Int,33%,,0%,0%,,178714
"Int2hWeapon (Druid, m0)",5 available in m0,,m0,,30%,,0%,0%,,
,,,,,,,,,,
,,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Druid,DruidBoomie,DruidCat,DruidBear,DruidResto,ID
"Offhand (Druid, Hc)",4 available in Hc,,Hc,,27%,23%,0%,0%,,
,Cinderbrew,2nd,Hc,Int,33%,,0%,0%,,221056
,Darkflame Cleft,1st,Hc,Int,50%,33%,0%,0%,,221097
,,,,,,,,,,
,City of Threads,2nd,both,Int,33%,25%,0%,0%,,221172
,Dawnbreaker,1st,both,Int,33%,,0%,0%,,221132
,,,,,,,,,,
"Offhand (Druid, m0)",2 available in m0,,m0,,13%,11%,0%,0%,,
,,,,,,,,,,
,,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Druid,DruidBoomie,DruidCat,DruidBear,DruidResto,ID
"DpsTrinket (Druid, Hc)",5 available in Hc,,Hc,,41%,28%,,0%,0%,
,Cinderbrew,3rd,Hc,"Dps,Agi,Str",50%,33%,,0%,0%,219298
,Darkflame Cleft,1st,Hc,"Dps,Agi",50%,33%,,0%,0%,219304
,Rookery,1st,Hc,"Dps,Agi",50%,33%,,0%,0%,219294
,,,,,,,,,,
,City of Threads,2nd,both,"Dps,Agi",50%,25%,,0%,0%,219319
,Stonevault,3rd,both,"Dps,",50%,33%,,0%,0%,219301
,,,,,,,,,,
,Necrotic Wake,3rd,m0,"Dps,Int",50%,,,0%,0%,178772
,Siege of Boralus,3rd,m0,"Dps,Int",33%,,,0%,0%,159622
"DpsTrinket (Druid, m0)",4 available in m0,,m0,,32%,25%,,0%,0%,
,,,,,,,,,,
,,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Druid,DruidBoomie,DruidCat,DruidBear,DruidResto,ID
"HealTrinket (Druid, Hc)",4 available in Hc,,Hc,,24%,0%,0%,0%,,
,Darkflame Cleft,3rd,Hc,"Heal,Int",33%,0%,0%,0%,,219306
,Priory,Last,Hc,"Heal,Int",33%,0%,0%,0%,,219310
,,,,,,,,,,
,City of Threads,3rd,both,"Heal,Int",33%,0%,0%,0%,,219320
,Stonevault,3rd,both,"Heal,Int",33%,0%,0%,0%,,219302
,,,,,,,,,,
,Grim Batol,2nd,m0,"Heal,",33%,0%,0%,0%,,133304
,Necrotic Wake,Last,m0,"Heal,Int",33%,0%,0%,0%,,178783
"HealTrinket (Druid, m0)",4 available in m0,,m0,,24%,0%,0%,0%,,
,,,,,,,,,,
,,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Druid,DruidBoomie,DruidCat,DruidBear,DruidResto,ID
"TankTrinket (Druid, Hc)",4 available in Hc,,Hc,,27%,0%,0%,,0%,
,Cinderbrew,1st,Hc,"Tank,",33%,0%,0%,,0%,219297
,Priory,2nd,Hc,"Tank,",50%,0%,0%,,0%,219309
,,,,,,,,,,
,Ara-Kara,2nd,both,"Tank,Agi,Str",33%,0%,0%,,0%,219316
,Stonevault,1st,both,"Tank,Agi,Str",33%,0%,0%,,0%,219315
,,,,,,,,,,
,Grim Batol,2nd,m0,"Tank,",33%,0%,0%,,0%,133291
"TankTrinket (Druid, m0)",3 available in m0,,m0,,19%,0%,0%,,0%,
,,,,,,,,,,
,,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Druid,DruidBoomie,DruidCat,DruidBear,DruidResto,ID
"AnyroleTrinket (Druid, Hc)",12 available in Hc,,Hc,,63%,,54%,54%,,
,Cinderbrew,Last,Hc,Int,33%,,0%,0%,,219299
,Darkflame Cleft,2nd,Hc,Int,33%,,0%,0%,,219305
,Darkflame Cleft,Last,Hc,,50%,,,,,219307
,Priory,1st,Hc,All3,50%,,33%,33%,,219308
,Rookery,2nd,Hc,All3,50%,,,,,219295
,Rookery,Last,Hc,,33%,,,,,219296
,,,,,,,,,,
,Ara-Kara,1st,both,,50%,,,,,219314
,Ara-Kara,Last,both,"Agi,Int",33%,,,,,219317
,City of Threads,1st,both,,50%,33%,,,33%,219318
,City of Threads,Last,both,Int,33%,,0%,0%,,219321
,Dawnbreaker,2nd,both,"Agi,Int",33%,,25%,25%,,219312
,Stonevault,Last,both,,50%,,,,,219303
,,,,,,,,,,
,Grim Batol,1st,m0,Agi,33%,0%,,,0%,133282
,Grim Batol,Last,m0,,25%,20%,,,20%,133305
,Mists of Tirna,1st,m0,Int,33%,,0%,0%,,178708
,Mists of Tirna,2nd,m0,Agi,33%,0%,,,0%,178715
,Necrotic Wake,2nd,m0,Agi,50%,0%,,,0%,178742
,Siege of Boralus,2nd,m0,Agi,33%,0%,,,0%,159623
"AnyroleTrinket (Druid, m0)",10 available in m0,,m0,,55%,45%,,,45%,
