Type,Dungeon,Boss,Week,stats,Dk,DkBlood,DkFrost,DkUnholy,DhHavoc,DhVeng,DruidBoomie,DruidCat,DruidBear,DruidResto,EvokerDev,EvokerPres,EvokerAug,HunterBm,HunterMm,HunterSv,MageArcane,MageFire,MageFrost,MonkBrew,MonkMw,MonkWw,PaladinHoly,PaladinProt,PaladinRet,PriestDisc,PriestHoly,PriestShadow,RogueSin,RogueOutlaw,RogueSub,ShamanEle,ShamanEnh,ShamanResto,WarlockAff,WarlockDemo,WarlockDest,WarriorArms,WarriorFury,WarriorProt,ID
,Cinderbrew,Last,Hc,V>M,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33%,,33%,,,,,,,221070
,Darkflame Cleft,Last,Hc,M>V,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221113
,Ara-Kara,2nd,both,M>H,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221156
,Grim Batol,1st,m0,H>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133285
,Mists of Tirna,1st,m0,M>H,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25%,,25%,,,,,,,178692
,Necrotic Wake,2nd,m0,C>M,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50%,,,,,,,,178738
,Darkflame Cleft,2nd,Hc,H>V,50%,,,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,,,,,,221100
,Rookery,Last,Hc,V>H,33%,,25%,,,,,,,,,,,,,,,,,,,,,25%,,,,,,,,,,,,,,,25%,25%,221047
,Mists of Tirna,1st,m0,H>M,50%,,,,,,,,,,,,,,,,,,,,,,33%,,50%,,,,,,,,,,,,,50%,50%,,178694
,Necrotic Wake,Last,m0,V>H,33%,,,,,,,,,,,,,,,,,,,,,,33%,,33%,,,,,,,,,,,,,33%,33%,,178777
"Head (Dk, m0)",2 available in m0,,m0,,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Head (Paladin, m0)",2 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,13%,,16%,,,,,,,,,,,,,,,,
"Head (Warrior, m0)",2 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16%,16%,,
"Head (Dh, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Head (Druid, m0)",4 available in m0,,m0,,,,,,,,32%,,,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Head (Evoker, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Head (Hunter, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Head (Monk, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,37%,,37%,,,,,,,,,,,,,,,,,,,
"Head (Rogue, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38%,,38%,,,,,,,,,,
"Head (Shaman, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32%,,,,,,,,
"Head (Mage, m0)",6 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Head (Priest, m0)",6 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Head (Warlock, m0)",6 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shoulders (Dh, Hc)",3 available in Hc,,Hc,,,,,,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shoulders (Druid, Hc)",3 available in Hc,,Hc,,,,,,,,20%,27%,,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shoulders (Evoker, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,16%,,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shoulders (Hunter, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,16%,,,,,,,,,,,,,,,,,,,,,,,,,
"Shoulders (Mage, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shoulders (Monk, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,35%,24%,,,,,,,,,,,,,,,,,,,
"Shoulders (Priest, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shoulders (Rogue, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24%,,,,,,,,,,,
"Shoulders (Shaman, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16%,,,,,,,,,
"Shoulders (Warlock, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shoulders (Dk, Hc)",4 available in Hc,,Hc,,29%,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shoulders (Paladin, Hc)",4 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shoulders (Warrior, Hc)",4 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cinderbrew,Last,Hc,C>M,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221072
,Darkflame Cleft,Last,Hc,V>M,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221115
,Dawnbreaker,1st,both,V>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221135
,Mists of Tirna,1st,m0,C>V,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178696
,Necrotic Wake,2nd,m0,H>M,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178740
,Cinderbrew,3rd,Hc,H>V,0%,,,,50%,,33%,50%,,50%,,,,,,,,,,,,50%,,,,,,,,,,,,,,,,,,,221201
,City of Threads,2nd,both,V>C,0%,,,,50%,,25%,50%,,33%,,,,,,,,,,,50%,50%,,,,,,,,,,,,,,,,,,,221175
,Stonevault,Last,both,C>V,0%,,,,,,,,,,,,,,,,,,,33%,,33%,,,,,,,,33%,,,,,,,,,,,221094
,Necrotic Wake,Last,m0,M>V,0%,,,,,,,,,33%,,,,,,,,,,,33%,,,,,,,,,,,,,,,,,,,,178779
,Darkflame Cleft,1st,Hc,V>H,0%,,,,,,,,,,25%,,25%,,,,,,,,,,,,,,,,,,,25%,,,,,,,,,221098
,Rookery,Last,Hc,M>V,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221048
,Dawnbreaker,2nd,both,M>V,0%,,,,,,,,,,,,,,,20%,,,,,,,,,,,,,,,,,,,,,,,,,221140
,Grim Batol,Last,m0,C>M,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,,20%,,,,,,,133374
,Mists of Tirna,2nd,m0,H>M,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,178695
,Necrotic Wake,1st,m0,V>M,0%,,,,,,,,,,,,,33%,33%,,,,,,,,,,,,,,,,,,,,,,,,,,178733
,Siege of Boralus,Last,m0,H>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231826
,Cinderbrew,1st,Hc,V>M,50%,33%,,,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,,,,33%,221052
,Priory,Last,Hc,C>V,33%,,,,,,,,,,,,,,,,,,,,,,33%,,33%,,,,,,,,,,,,,33%,33%,,221203
,Ara-Kara,2nd,both,V>M,50%,33%,,,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,,,,33%,221155
,City of Threads,Last,both,C>H,33%,,,,,,,,,,,,,,,,,,,,,,33%,,33%,,,,,,,,,,,,,33%,33%,,221185
,Grim Batol,3rd,m0,M>H,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133294
,Mists of Tirna,2nd,m0,M>V,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178697
,Necrotic Wake,3rd,m0,C>V,50%,,33%,33%,,,,,,,,,,,,,,,,,,,,33%,33%,,,,,,,,,,,,,,,,178749
,Siege of Boralus,Last,m0,M>H,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231830
"Shoulders (Dh, m0)",3 available in m0,,m0,,,,,,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shoulders (Druid, m0)",3 available in m0,,m0,,,,,,,,23%,27%,,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shoulders (Mage, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shoulders (Monk, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,24%,24%,,,,,,,,,,,,,,,,,,,
"Shoulders (Priest, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shoulders (Rogue, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24%,,,,,,,,,,,
"Shoulders (Warlock, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shoulders (Evoker, m0)",5 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shoulders (Hunter, m0)",5 available in m0,,m0,,,,,,,,,,,,,,,29%,29%,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shoulders (Shaman, m0)",5 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32%,,,,,,,,
"Shoulders (Dk, m0)",6 available in m0,,m0,,38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shoulders (Paladin, m0)",6 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,38%,38%,,,,,,,,,,,,,,,,
"Shoulders (Warrior, m0)",6 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chest (Evoker, Hc)",2 available in Hc,,Hc,,,,,,,,,,,,,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chest (Hunter, Hc)",2 available in Hc,,Hc,,,,,,,,,,,,,,,16%,16%,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chest (Shaman, Hc)",2 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13%,,11%,,,,,,,
"Chest (Dh, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chest (Dk, Hc)",3 available in Hc,,Hc,,35%,,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chest (Druid, Hc)",3 available in Hc,,Hc,,,,,,,,21%,,,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chest (Mage, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chest (Monk, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,19%,,,,,,,,,,,,,,,,,,,,
"Chest (Paladin, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,21%,33%,,,,,,,,,,,,,,,,,
"Chest (Priest, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23%,,,,,,,,,,,,,
"Chest (Rogue, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,,20%,,,,,,,,,,
"Chest (Warlock, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chest (Warrior, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33%,33%,
,Priory,2nd,Hc,V>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221126
,City of Threads,2nd,both,C>H,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,25%,,,,,,,,,,,,,221176
,Stonevault,Last,both,V>H,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221095
,Priory,Last,Hc,V>H,0%,,,,,,,,,33%,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,,,,221130
,Rookery,Last,Hc,M>V,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,25%,,25%,,,,,,,,,,221049
,City of Threads,Last,both,H>M,0%,,,,,,33%,,,33%,,,,,,,,,,,33%,,,,,,,,33%,,33%,,,,,,,,,,221188
,Grim Batol,1st,m0,M>H,0%,,,,,,,,,,,,,,,,,,,33%,,33%,,,,,,,,,,,,,,,,,,,133284
,Grim Batol,Last,m0,M>C,0%,,,,,,20%,,,20%,,,,,,,,,,,20%,,,,,,,,,,,,,,,,,,,,133297
,Mists of Tirna,1st,m0,H>C,0%,,,,,,33%,,,33%,,,,,,,,,,,33%,,,,,,,,,,,,,,,,,,,,178698
,Necrotic Wake,3rd,m0,M>C,0%,,,,50%,,50%,50%,,,,,,,,,,,,,,50%,,,,,,,33%,,33%,,,,,,,,,,178744
,Siege of Boralus,Last,m0,C>H,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231822
,Rookery,2nd,Hc,C>M,0%,,,,,,,,,,,,,33%,33%,,,,,,,,,,,,,,,,,33%,,33%,,,,,,,221041
,City of Threads,3rd,both,M>V,0%,,,,,,,,,,,33%,,,,,,,,,,,,,,,,,,,,33%,,25%,,,,,,,221179
,Siege of Boralus,Last,m0,M>H,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231825
,Cinderbrew,Last,Hc,H>C,50%,,33%,,,,,,,,,,,,,,,,,,,,33%,33%,,,,,,,,,,,,,,,33%,33%,221069
,Ara-Kara,Last,both,V>H,100%,,,,,,,,,,,,,,,,,,,,,,50%,,,,,,,,,,,,,,,,,,221161
,Dawnbreaker,2nd,both,C>V,50%,,,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,,,,,,221139
,Siege of Boralus,Last,m0,M>H,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231827
"Chest (Evoker, m0)",2 available in m0,,m0,,,,,,,,,,,,,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chest (Hunter, m0)",2 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chest (Mage, m0)",2 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chest (Priest, m0)",2 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15%,,,,,,,,,,,,,
"Chest (Shaman, m0)",2 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16%,,15%,,,,,,,
"Chest (Warlock, m0)",2 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chest (Dk, m0)",3 available in m0,,m0,,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chest (Paladin, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,24%,,,,,,,,,,,,,,,,,,
"Chest (Warrior, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chest (Dh, m0)",6 available in m0,,m0,,,,,,46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chest (Druid, m0)",6 available in m0,,m0,,,,,,,,37%,48%,,44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chest (Monk, m0)",6 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,46%,48%,,,,,,,,,,,,,,,,,,,
"Chest (Rogue, m0)",6 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44%,,44%,,,,,,,,,,
"Wrists (Dh, Hc)",3 available in Hc,,Hc,,,,,,,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wrists (Druid, Hc)",3 available in Hc,,Hc,,,,,,,,,23%,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wrists (Evoker, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,20%,,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wrists (Hunter, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,,,,,,,,,,,,,
"Wrists (Mage, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wrists (Monk, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,16%,,20%,,,,,,,,,,,,,,,,,,,
"Wrists (Priest, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wrists (Rogue, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21%,,,,,,,,,,,
"Wrists (Shaman, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,,21%,,,,,,,
"Wrists (Warlock, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wrists (Dk, Hc)",4 available in Hc,,Hc,,31%,,28%,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wrists (Paladin, Hc)",4 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,36%,28%,,,,,,,,,,,,,,,,
"Wrists (Warrior, Hc)",4 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28%,28%,,
,Darkflame Cleft,2nd,Hc,M>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221104
,Rookery,1st,Hc,C>V,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,221037
,City of Threads,3rd,both,H>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,33%,33%,,,,,,,,,,,,,,221182
,Grim Batol,3rd,m0,H>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133295
,Mists of Tirna,1st,m0,H>V,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178704
,Necrotic Wake,Last,m0,M>V,0%,,,,,,,,,,,,,,,,,,,,,,,,,33%,33%,,,,,,,,,,,,,,178782
,Siege of Boralus,Last,m0,M>H,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159256
,Cinderbrew,1st,Hc,M>H,0%,,,,,33%,,,33%,,,,,,,,,,,25%,,33%,,,,,,,,33%,,,,,,,,,,,221053
,Ara-Kara,2nd,both,C>M,0%,,,,,33%,,,33%,,,,,,,,,,,33%,,,,,,,,,,,,,,,,,,,,,221157
,Dawnbreaker,2nd,both,H>C,0%,,,,,,,25%,25%,,,,,,,,,,,25%,,25%,,,,,,,25%,,25%,,,,,,,,,,221142
,Mists of Tirna,Last,m0,C>V,0%,,,,,,33%,,,33%,,,,,,,,,,,33%,,,,,,,,,,,,,,,,,,,,178702
,Necrotic Wake,2nd,m0,H>V,0%,,,,,,,50%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178741
,Cinderbrew,2nd,Hc,C>V,0%,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,,,,33%,,33%,,,,,,,221059
,Priory,2nd,Hc,M>H,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50%,,50%,,,,,,,221124
,City of Threads,2nd,both,C>M,0%,,,,,,,,,,25%,,25%,,,,,,,,,,,,,,,,,,,25%,,33%,,,,,,,221174
,Mists of Tirna,Last,m0,M>V,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33%,,33%,,,,,,,178703
,Siege of Boralus,2nd,m0,V>H,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,159372
,Cinderbrew,3rd,Hc,C>H,50%,,33%,33%,,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,33%,33%,,221064
,Priory,1st,Hc,C>H,50%,,,,,,,,,,,,,,,,,,,,,,33%,33%,,,,,,,,,,,,,,,,33%,221118
,City of Threads,1st,both,H>V,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221167
,Dawnbreaker,Last,both,C>H,25%,,,,,,,,,,,,,,,,,,,,,,,25%,25%,,,,,,,,,,,,,,,,212437
,Grim Batol,1st,m0,M>H,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133306
"Wrists (Dk, m0)",3 available in m0,,m0,,23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wrists (Evoker, m0)",3 available in m0,,m0,,,,,,,,,,,,23%,,23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wrists (Hunter, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wrists (Paladin, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,23%,23%,,,,,,,,,,,,,,,,
"Wrists (Shaman, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,,21%,,,,,,,
"Wrists (Warrior, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wrists (Dh, m0)",4 available in m0,,m0,,,,,,,29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wrists (Druid, m0)",4 available in m0,,m0,,,,,,,,,31%,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wrists (Monk, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,28%,29%,,,,,,,,,,,,,,,,,,,,
"Wrists (Rogue, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31%,,31%,,,,,,,,,,
"Wrists (Mage, m0)",5 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wrists (Priest, m0)",5 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,30%,30%,,,,,,,,,,,,,,
"Wrists (Warlock, m0)",5 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hands (Dh, Hc)",3 available in Hc,,Hc,,,,,,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hands (Dk, Hc)",3 available in Hc,,Hc,,24%,,21%,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
